"";"Trienio";"Nome_Microrregiao";"COD_Microrregiao_Geografica";"Categoria 1 ou Adequada (C1)";"Categoria 2 ou Intermediária (C2)";"Categoria 3 ou Inadequada (C3)";"Indice_Adequacao"
"58";"2000_2002";"Sete_Lagoas";"31027";0,00854402678123409;0,934997271332139;0,0564587018866266;41,9583960560677
"59";"2000_2002";"Teofilo_Otoni";"31015";0;0,64575411913815;0,35424588086185;-3,13688212927757
"60";"2000_2002";"Tres_Marias";"31024";0;1;0;50
"61";"2000_2002";"Uba";"31064";0,034232326581838;0,965767673418162;0;51,7116163290919
"62";"2000_2002";"Uberaba";"31022";0,316063338267618;0,486716682366662;0,19721997936572;36,2201700085228
"63";"2000_2002";"Uberlandia";"31018";0,629598130494913;0,365036612170305;0,00536525733478218;80,6751179245283
"64";"2000_2002";"Unai";"31001";0;0,697830066356495;0,302169933643505;4,67450995347418
"65";"2000_2002";"Varginha";"31050";0,0658655775734309;0,934134422426569;0;53,2932788786715
"66";"2000_2002";"Vicosa";"31062";0,0258914253797229;0,887195461237052;0,0869131133832247;38,2576042615024
"67";"2003_2005";"Aimores";"31041";0,0413818488989144;0,840740364960002;0,117877786141084;34,3874245237831
"68";"2003_2005";"Alfenas";"31049";0,34196276779178;0,65803723220822;0;67,098138389589
"69";"2003_2005";"Almenara";"31014";0;0,733040394997635;0,266959605002365;9,95605924964523
"70";"2003_2005";"Andrelandia";"31055";0,0867792062604807;0,84473113471213;0,0684896590273896;44,0655114589156
"71";"2003_2005";"Aracuai";"31012";0;1;0;50
"72";"2003_2005";"Araxa";"31023";0,631228262795025;0,30307824253766;0,0656934946673144;71,7073889396541
"73";"2003_2005";"Barbacena";"31059";0,640147320783785;0,359852679216215;0;82,0073660391893
"74";"2003_2005";"Belo_Horizonte";"31030";0,688091560711445;0,311908439288555;0;84,4045780355722
"75";"2003_2005";"Bocaiuva";"31009";0,148690663321218;0,851309336678782;0;57,4345331660609
"76";"2003_2005";"Bom_Despacho";"31026";0,147912521979629;0,852087478020371;0;57,3956260989814
"77";"2003_2005";"Campo_Belo";"31045";0,714192316074198;0,285807683925802;0;85,7096158037099
"78";"2003_2005";"Capelinha";"31011";0;1;0;50
"79";"2003_2005";"Caratinga";"31040";0,107354956601188;0,892645043398812;0;55,3677478300594
"80";"2003_2005";"Cataguases";"31066";0,0986645960892166;0,901335403910783;0;54,9332298044608
"81";"2003_2005";"Conceicao_do_Mato_Dentro";"31028";0,0171081400603441;0,982891859939656;0;50,8554070030172
"82";"2003_2005";"Conselheiro_Lafaiete";"31034";0,0838945215892423;0,916105478410758;0;54,1947260794621
"83";"2003_2005";"Curvelo";"31025";0,104915823475303;0,710371788563972;0,184712387960725;27,5389329796565
"84";"2003_2005";"Diamantina";"31010";0,0327716213328449;0,967228378667155;0;51,6385810666423
"85";"2003_2005";"Divinopolis";"31043";0,275307555313765;0,724692444686235;0;63,7653777656883
"86";"2003_2005";"Formiga";"31044";0,154922062307468;0,845077937692532;0;57,7461031153734
"87";"2003_2005";"Frutal";"31021";0;0,87642888342988;0,12357111657012;31,464332514482
"88";"2003_2005";"Governador_Valadares";"31037";0,0177949979119298;0,91667469770574;0,0655303043823298;41,060204238247
"89";"2003_2005";"Grao_Mogol";"31008";0,412690023505195;0,587309976494805;0;70,6345011752597
"90";"2003_2005";"Guanhaes";"31035";0,268810806839218;0,702424836519318;0,0287643566414643;59,1258868457412
"91";"2003_2005";"Ipatinga";"31039";0;1;0;50
"92";"2003_2005";"Itabira";"31031";0,247067163182921;0,747604339760733;0,005328497056346;61,5540836006941
"93";"2003_2005";"Itaguara";"31032";0;1;0;50
"94";"2003_2005";"Itajuba";"31056";0,539201866212917;0,460798133787083;0;76,9600933106458
"95";"2003_2005";"Ituiutaba";"31017";0;1;0;50
"96";"2003_2005";"Janauba";"31004";0;0,954603440194141;0,0453965598058587;43,1905160291212
"97";"2003_2005";"Januaria";"31003";0,126150595616408;0,692163362014503;0,181686042369089;29,054623425457
"98";"2003_2005";"Juiz_de_Fora";"31065";0,273844598188774;0,70890280675809;0,0172525950531362;61,1043406514683
"99";"2003_2005";"Lavras";"31057";0,0419006039191037;0,958099396080896;0;52,0950301959552
"100";"2003_2005";"Manhuacu";"31061";0,0277127274969312;0,955233200118828;0,0170540723842407;48,8275255172104
"101";"2003_2005";"Mantena";"31038";0,26552554283889;0,73447445716111;0;63,2762771419445
"102";"2003_2005";"Montes_Claros";"31007";0,00979536984094523;0,349203334961026;0,641001295198029;-45,6604257876571
"103";"2003_2005";"Muriae";"31063";0,0228744996693077;0,973148235237912;0,00397726509278046;50,5471352195483
"104";"2003_2005";"Nanuque";"31016";0;0,177977206350516;0,822022793649484;-73,3034190474226
"105";"2003_2005";"Oliveira";"31046";0,547473724492754;0,452526275507246;0;77,3736862246377
