Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,3,0,0,0,0,1,0,3,1,4,2,3,4,6,12,6,15
310020,0,0,0,2,1,2,2,4,6,4,8,7,14,15,15,24,56
310030,6,0,0,1,1,0,4,1,4,0,1,4,5,8,4,7,27
310040,0,0,0,1,1,0,0,0,2,1,0,1,3,1,2,1,10
310050,1,0,0,1,0,1,1,2,0,3,3,3,0,8,5,7,20
310060,2,0,0,1,5,3,1,4,3,2,4,2,7,7,9,8,33
310070,0,0,0,0,0,0,1,1,0,0,0,3,1,2,0,3,8
310080,0,0,0,1,0,0,0,1,2,1,1,5,2,2,3,6,12
310090,5,1,0,3,3,1,2,13,7,10,4,10,11,7,11,15,43
310100,4,0,0,1,3,0,2,1,1,1,4,4,6,4,7,10,16
310110,3,0,0,6,5,3,2,5,3,5,8,7,12,15,14,16,58
310120,0,0,0,0,0,1,0,2,1,1,2,4,2,3,6,9,20
310130,0,0,0,0,0,0,0,1,1,1,1,1,2,0,4,3,14
310140,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,8
310150,3,0,0,0,4,3,2,7,8,15,26,22,28,28,36,31,98
310160,11,0,1,7,10,9,3,15,19,17,36,50,47,60,52,55,141
310163,1,0,0,0,0,1,2,0,5,3,5,3,5,1,4,4,7
310170,8,1,1,3,4,8,7,5,8,10,14,13,22,18,15,22,64
310180,3,0,1,0,3,3,2,1,1,1,1,3,4,3,6,3,9
310190,5,0,1,2,2,1,2,4,5,9,9,13,8,7,19,11,51
310200,2,0,0,3,2,2,1,2,1,0,1,5,6,5,11,11,33
310205,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,5,10
315350,2,0,0,0,0,2,0,0,2,2,3,2,6,2,3,6,28
310210,3,0,1,1,1,1,1,1,3,5,3,6,13,7,15,12,34
310220,1,0,0,0,0,0,2,4,0,1,1,4,5,2,6,3,4
310230,2,1,0,1,1,0,2,2,2,4,5,4,6,9,10,14,53
310240,0,0,2,1,0,0,0,1,0,1,1,1,1,0,1,2,4
310250,2,0,0,0,1,0,0,0,3,2,1,2,1,3,5,8,16
310260,7,2,1,8,2,3,5,4,9,15,12,13,23,23,30,38,108
310280,2,0,0,0,0,0,3,0,3,6,3,8,12,6,15,11,34
310285,2,0,1,0,0,1,4,1,0,1,2,4,6,4,5,6,11
310290,0,0,0,2,3,2,2,2,5,5,5,1,10,10,11,9,28
310300,2,2,1,1,1,0,1,2,3,4,6,7,4,4,5,7,9
310310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11
310320,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,5
310330,0,0,0,0,0,0,0,3,1,0,0,2,2,3,5,3,2
310340,5,1,1,0,7,9,8,10,7,15,15,7,10,24,23,30,73
310350,12,1,3,7,15,16,18,17,28,39,38,57,62,58,81,85,243
310360,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,8
310370,0,0,0,1,1,1,0,2,3,0,5,4,7,7,2,2,11
310375,3,0,0,0,1,3,2,0,1,0,1,3,4,3,4,6,7
310380,1,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,6
310390,1,0,1,1,2,0,3,1,1,0,2,4,5,0,5,4,19
310400,20,1,0,7,12,11,15,20,20,32,40,59,63,61,80,79,214
310410,0,0,0,1,1,1,0,2,2,4,3,2,4,3,8,3,17
310420,5,0,1,3,3,0,4,5,2,9,16,14,26,21,21,26,78
310430,2,0,0,0,3,0,1,3,0,4,4,11,8,10,12,11,27
310440,1,1,0,0,1,0,0,1,0,1,2,1,3,0,1,1,8
310445,0,0,1,0,0,0,0,0,1,2,4,3,5,5,3,4,13
310450,1,0,2,4,4,4,0,5,2,3,6,5,13,1,12,17,28
310460,1,1,0,1,3,3,6,2,3,3,4,7,6,9,14,13,39
310470,3,0,0,2,1,1,1,4,10,1,6,9,9,7,9,12,36
310480,0,0,0,0,0,1,2,0,1,0,2,0,2,6,3,4,7
310490,6,0,1,4,1,3,0,2,6,3,7,6,17,14,16,19,57
310500,5,0,0,1,1,0,0,4,1,2,5,6,4,5,7,7,19
310510,3,1,0,1,4,3,5,4,9,12,11,15,11,19,18,27,60
310520,3,0,0,0,0,0,0,0,1,1,1,2,1,1,5,3,9
310530,2,1,0,2,1,0,0,0,1,0,6,4,2,1,7,6,12
