Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,497,565,522,534,552,513,535,559,481,413,402,333,285,193,142,102,84
310020,1734,1994,1971,2090,1952,1670,1696,1818,1746,1464,1226,976,820,673,503,362,320
310030,1126,1250,1273,1289,1278,1056,926,958,892,800,651,521,440,405,315,233,215
310040,330,365,364,371,351,328,303,258,266,213,166,156,137,110,100,87,85
310050,951,1191,1093,1080,994,813,733,659,629,531,492,442,412,384,317,244,206
310060,1748,2177,1948,1793,1533,1281,1070,1001,909,765,634,531,482,375,294,214,207
310070,142,168,198,198,177,162,159,155,138,141,114,93,85,60,46,34,37
310080,297,342,309,332,316,290,266,291,272,255,237,178,135,118,95,76,65
310090,1732,1924,1933,1950,1829,1401,1179,1112,994,868,785,701,670,549,384,264,268
310100,1226,1392,1425,1408,1224,938,783,772,690,601,525,437,354,301,198,135,133
310110,2090,2198,2186,2297,2213,2003,1814,1813,1696,1497,1318,1062,916,843,664,506,480
310120,432,545,566,528,520,465,464,505,482,428,353,285,261,213,180,131,110
310130,212,253,247,224,224,165,172,226,241,186,170,118,102,96,84,54,46
310140,226,287,251,251,250,252,242,200,178,177,151,119,108,77,72,54,44
310150,2724,2944,2870,2873,2880,2668,2478,2583,2604,2350,1842,1400,1200,1075,902,669,647
310160,5694,6277,6434,6839,6607,6035,5176,5245,5070,4545,3711,2856,2210,1754,1317,982,924
310163,476,529,533,522,499,485,459,450,388,331,265,220,176,138,92,63,50
310170,3453,3474,3591,4103,3828,3019,2544,2471,2249,1896,1645,1389,1236,1043,786,519,532
310180,612,732,675,693,668,604,484,443,464,388,327,270,255,197,151,123,133
310190,1452,1738,1706,1735,1587,1348,1320,1402,1294,1110,913,675,534,436,351,272,227
310200,1071,1176,1160,1259,1165,1043,986,1016,945,817,705,584,502,421,312,227,227
310205,465,505,465,502,475,406,384,363,335,273,229,173,136,125,96,75,65
315350,730,786,762,834,761,685,595,622,599,521,426,299,229,228,208,151,144
310210,935,1197,1273,1292,1179,1000,894,942,842,756,664,578,508,428,341,277,257
310220,422,441,457,515,492,353,301,303,341,301,236,189,176,157,128,80,73
310230,1228,1435,1416,1462,1402,1217,1049,1089,1089,886,768,670,535,501,414,298,322
310240,410,426,392,376,314,266,236,221,191,164,147,108,99,86,59,59,61
310250,417,510,495,496,482,404,353,372,334,318,245,221,190,181,145,125,111
310260,2587,2808,2939,3132,3101,2923,2794,2804,2624,2285,1940,1505,1224,1063,886,624,500
310280,895,1007,1023,1037,1086,984,924,914,909,815,720,573,465,412,322,227,207
310285,873,1077,976,931,796,589,477,434,361,326,269,207,181,167,103,60,61
310290,822,1013,1044,1017,982,945,888,879,816,665,531,491,363,287,203,151,131
310300,916,1068,1019,986,918,802,700,710,635,521,426,333,309,274,188,129,107
310310,98,126,143,142,145,123,126,149,132,113,101,85,82,69,58,52,32
310320,177,209,199,201,204,175,157,183,153,126,109,93,72,73,37,31,40
310330,123,165,193,178,165,141,125,170,148,171,128,108,78,68,63,51,45
310340,3316,3725,3901,3968,3688,2809,2405,2291,2072,1700,1378,1249,1124,1033,770,588,634
310350,8187,8725,9113,9992,9492,9016,8407,8651,8003,6651,5542,4559,3632,2949,2128,1548,1357
310360,216,267,230,220,232,213,212,244,223,192,161,143,99,98,80,60,42
310370,740,874,858,899,858,723,570,507,471,380,338,257,215,198,140,91,86
310375,550,572,557,562,547,505,483,436,361,305,266,214,155,131,85,49,45
310380,185,211,213,218,222,218,236,225,193,172,168,153,121,102,72,59,52
310390,642,627,626,726,643,576,540,548,503,406,317,256,217,180,141,115,81
310400,6651,7111,7764,8459,8244,7171,6402,6667,6551,5838,4629,3495,2711,2161,1582,1145,1121
310410,729,710,784,857,785,682,615,649,579,552,464,372,325,274,228,169,138
310420,2563,2737,2978,3361,3418,3001,2698,2879,2725,2310,1856,1416,1090,818,603,434,378
310430,1044,1048,1188,1258,1199,1028,889,971,909,810,644,559,501,419,300,234,210
310440,218,261,256,299,270,230,196,197,200,195,156,145,130,110,96,80,76
310445,477,521,522,512,448,320,266,273,254,233,182,155,123,111,78,70,48
310450,1852,2010,1931,1948,1839,1322,1102,1113,1031,905,756,596,533,434,320,219,176
310460,921,1006,1089,1153,1096,996,933,1011,877,792,633,548,470,370,309,239,214
