Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,0,0,0,1,1,0,0,3,2,0,2,3,5,8,6,3,8
310020,8,0,0,2,1,2,2,3,5,8,5,12,15,11,18,24,28
310030,7,0,1,0,2,1,2,2,1,3,2,9,10,4,13,7,18
310040,2,0,0,0,0,0,2,2,4,0,2,0,5,4,6,2,3
310050,5,0,0,1,0,0,2,0,1,0,1,4,5,6,4,10,25
310060,6,0,1,0,2,2,3,2,2,6,4,8,5,11,9,9,10
310070,0,0,0,0,0,1,0,1,1,1,0,1,1,2,3,2,4
310080,1,0,0,1,0,1,0,0,0,0,0,4,0,1,1,4,8
310090,10,1,2,1,2,3,1,6,5,3,4,7,8,14,7,12,23
310100,8,1,0,3,2,2,3,2,4,2,0,3,2,4,2,7,7
310110,11,0,0,0,6,3,2,3,3,3,10,10,8,15,19,19,49
310120,1,0,0,0,1,1,0,1,2,1,2,3,4,5,5,7,15
310130,1,0,0,0,0,0,1,1,0,0,0,3,1,1,3,3,4
310140,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1
310150,18,1,3,1,5,7,3,6,14,13,17,18,17,22,35,36,70
310160,28,2,6,5,8,11,8,16,19,22,26,34,45,44,43,47,112
310163,2,0,0,0,2,1,2,3,2,2,1,1,6,2,5,3,3
310170,19,1,2,7,4,4,9,6,6,9,15,8,11,14,16,13,44
310180,0,1,0,0,0,1,0,0,1,4,4,1,1,2,4,1,4
310190,4,0,0,1,1,2,1,3,8,7,6,3,11,8,13,16,20
310200,5,0,1,2,1,2,3,3,6,0,4,6,7,4,11,6,24
310205,4,0,0,0,0,0,0,0,0,1,0,1,2,3,3,5,3
315350,3,1,1,0,0,0,0,3,1,2,4,4,3,3,8,7,15
310210,5,0,1,1,0,1,3,3,6,8,6,8,5,13,7,10,31
310220,1,0,0,0,0,2,0,0,0,0,1,2,3,1,5,2,10
310230,5,1,0,0,1,0,2,1,5,3,3,4,12,8,8,13,37
310240,3,0,0,0,1,0,3,3,0,0,2,0,1,4,2,1,7
310250,1,1,1,0,1,0,0,1,3,1,2,0,3,3,2,2,11
310260,5,0,5,4,5,4,8,5,9,11,8,15,15,21,28,26,63
310280,3,0,1,2,2,1,0,2,5,4,9,2,11,8,13,11,26
310285,1,0,0,1,0,0,2,1,0,0,1,0,0,1,0,0,0
310290,1,1,1,1,0,2,2,2,3,4,4,6,4,9,6,4,22
310300,3,0,1,0,0,2,1,1,4,5,4,3,3,6,6,15,13
310310,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2
310320,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2
310330,0,0,0,0,0,1,0,0,1,0,3,0,1,2,0,3,6
310340,12,0,5,2,7,3,5,11,6,7,7,11,9,20,21,21,55
310350,25,1,1,2,14,13,21,24,29,30,34,50,44,50,68,57,147
310360,1,0,0,0,0,0,0,1,0,1,0,1,0,3,5,1,3
310370,4,0,0,0,1,0,0,1,3,0,3,4,1,2,1,9,6
310375,1,0,0,1,6,0,0,1,0,3,3,4,0,2,2,5,5
310380,0,0,0,1,0,1,0,1,1,0,0,1,2,0,1,0,9
310390,0,1,1,1,1,0,1,2,3,3,1,3,5,4,4,6,5
310400,27,0,2,2,7,7,15,17,25,29,33,39,49,51,59,59,126
310410,1,0,0,3,3,2,1,2,1,3,3,3,5,6,6,9,8
310420,11,0,1,1,1,5,3,10,8,2,11,15,15,17,18,28,39
310430,6,0,0,1,2,0,1,3,2,8,6,5,9,10,8,7,27
310440,1,0,0,0,0,0,0,0,1,1,0,2,3,1,3,1,8
310445,7,0,1,0,0,1,1,0,0,1,1,1,2,4,2,2,3
310450,4,0,0,0,1,2,0,1,3,5,3,5,1,8,6,6,16
310460,2,0,0,1,1,3,3,0,4,5,6,3,4,8,7,11,23
310470,6,0,1,1,0,1,2,1,2,7,3,4,5,7,1,5,12
310480,1,0,0,0,1,1,3,1,0,1,0,0,3,1,3,0,3
