Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,461,548,530,517,541,514,522,561,510,425,414,350,305,210,149,102,95
310020,1591,1911,1928,2005,1961,1668,1651,1763,1786,1552,1323,1054,866,711,536,376,366
310030,1050,1191,1237,1218,1252,1080,935,952,908,844,697,566,454,411,332,237,238
310040,313,343,359,365,335,322,309,260,272,232,176,164,143,118,102,83,95
310050,827,1113,1056,1011,956,795,736,662,647,553,511,453,410,384,319,253,228
310060,1499,2026,1892,1713,1467,1250,1068,983,920,796,651,551,484,384,307,211,217
310070,128,153,187,195,177,160,156,155,136,145,120,99,92,62,52,36,38
310080,283,334,318,330,316,301,271,291,282,266,256,202,149,122,101,72,73
310090,1630,1871,1885,1875,1810,1469,1210,1152,1032,918,808,723,682,582,428,273,296
310100,1146,1343,1380,1391,1256,976,807,790,712,642,560,470,379,324,219,139,159
310110,1970,2123,2125,2194,2157,2003,1825,1807,1722,1561,1397,1129,938,852,685,509,534
310120,378,514,555,510,511,451,450,484,485,447,382,299,270,219,186,138,118
310130,193,234,246,214,225,169,160,207,247,199,184,131,105,91,85,56,51
310140,202,275,257,248,241,248,245,216,180,178,158,130,113,82,73,54,49
310150,2556,2827,2877,2802,2817,2708,2486,2519,2588,2467,2010,1515,1247,1072,923,669,725
310160,5398,6061,6365,6672,6650,6296,5354,5243,5153,4823,4024,3156,2410,1870,1411,1013,1037
310163,461,519,544,530,499,494,469,465,420,362,287,241,189,152,101,69,60
310170,3351,3426,3449,3897,3902,3204,2647,2537,2368,2034,1736,1479,1279,1096,860,554,583
310180,563,715,680,669,643,616,509,447,468,410,348,283,263,212,161,123,140
310190,1338,1660,1716,1718,1634,1400,1313,1387,1340,1176,996,756,574,454,369,279,256
310200,1002,1145,1136,1221,1166,1068,983,1018,965,865,752,622,532,442,341,238,249
310205,439,498,468,489,491,423,397,373,348,297,249,195,142,129,102,74,76
315350,674,754,737,786,746,698,600,605,604,543,462,341,238,221,213,155,163
310210,824,1090,1201,1221,1140,985,864,914,857,776,686,597,521,436,348,268,277
310220,389,408,416,456,480,362,303,284,327,311,252,196,175,152,130,83,81
310230,1120,1357,1377,1393,1369,1243,1066,1053,1114,940,804,708,557,503,433,303,353
310240,389,417,393,371,310,266,236,228,198,169,156,117,97,90,59,51,66
310250,371,476,481,471,458,404,349,368,335,335,260,232,193,182,146,123,123
310260,2489,2728,2936,3088,3135,3015,2844,2831,2719,2432,2104,1656,1310,1091,925,666,578
310280,830,963,990,986,1040,978,938,902,924,846,763,617,491,418,333,230,226
310285,785,1052,983,916,811,624,504,451,381,344,286,224,189,177,118,67,71
310290,745,953,1039,991,963,936,888,884,837,725,555,521,394,310,217,156,147
310300,828,1000,988,947,897,800,696,708,657,558,461,353,309,278,204,130,118
310310,88,115,144,131,141,121,116,142,132,119,104,88,84,73,58,55,38
310320,161,199,206,190,201,178,152,181,163,138,115,100,77,78,42,34,40
310330,110,150,184,173,162,145,118,166,148,176,138,120,85,70,64,52,50
310340,3116,3524,3758,3814,3708,2932,2454,2324,2153,1840,1455,1289,1131,1060,814,593,695
310350,7809,8469,8900,9708,9515,9179,8477,8585,8311,7128,5927,4907,3876,3125,2301,1610,1535
310360,192,258,233,211,219,207,201,236,234,203,169,157,102,97,84,62,46
310370,670,840,831,859,852,752,612,520,492,406,360,280,222,199,153,92,100
310375,539,553,572,566,562,522,505,451,388,312,276,228,168,139,95,55,50
310380,174,198,209,211,213,210,231,232,206,174,169,162,127,108,79,61,58
310390,643,640,630,733,684,618,561,563,532,450,352,277,231,189,146,117,100
310400,6486,6934,7721,8345,8572,7735,6706,6689,6717,6210,5117,3906,2921,2315,1709,1182,1242
310410,732,703,771,858,848,726,632,664,599,576,501,402,338,281,234,172,156
310420,2478,2640,2927,3212,3449,3168,2753,2859,2817,2481,2036,1560,1198,885,649,452,432
310430,1030,1008,1152,1233,1233,1091,918,967,935,871,703,589,523,443,324,233,240
310440,193,244,237,274,268,232,199,192,201,198,166,147,135,112,96,76,86
310445,458,511,510,513,456,345,279,278,264,248,201,168,130,119,79,73,58
310450,1720,1931,1866,1840,1823,1383,1137,1109,1057,958,812,633,553,452,348,226,207
