Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,0,0,1,2,0,1,0,0,1,7,4,2,4,3,5,4,19
310020,5,0,0,3,2,1,6,3,4,11,10,15,15,16,22,18,53
310030,3,0,0,3,0,2,2,2,2,5,2,4,8,6,9,17,31
310040,0,0,0,0,1,1,0,0,0,3,2,2,0,7,6,3,12
310050,2,0,0,1,3,2,0,3,3,6,3,3,4,8,3,13,10
310060,2,0,0,0,4,0,1,1,7,2,4,3,4,6,9,12,25
310070,2,0,0,0,0,1,1,0,1,0,0,2,1,3,3,1,4
310080,0,0,1,0,0,0,0,0,0,2,1,1,0,3,2,2,9
310090,7,1,0,1,4,2,2,7,8,5,11,9,9,9,12,18,32
310100,4,0,0,1,0,2,3,3,1,5,6,4,10,2,4,7,14
310110,6,1,0,6,5,2,1,3,3,4,6,8,21,6,20,13,78
310120,0,0,0,0,0,1,0,0,2,0,5,0,7,1,7,5,16
310130,0,0,0,0,2,0,1,0,0,1,2,2,1,2,3,3,2
310140,1,0,0,0,0,0,0,1,0,0,0,1,2,4,2,0,3
310150,8,2,2,2,3,4,9,7,12,10,15,22,22,31,33,43,98
310160,13,1,2,4,8,6,7,15,12,18,41,37,33,51,55,65,150
310163,3,0,0,1,1,1,1,1,1,0,1,1,4,6,3,5,8
310170,11,0,0,6,1,10,5,4,9,6,15,12,13,17,20,28,63
310180,0,0,1,0,0,2,3,3,2,2,4,5,3,6,9,8,14
310190,3,2,0,0,4,1,3,4,4,7,2,6,7,13,18,13,43
310200,4,0,0,0,0,1,0,4,1,9,5,8,6,11,12,15,48
310205,1,1,0,0,1,0,0,1,1,2,1,2,2,4,3,8,11
315350,1,0,0,0,2,0,0,2,3,1,1,2,2,5,1,5,24
310210,2,0,0,1,0,1,1,1,4,5,2,4,10,5,7,10,36
310220,0,0,0,0,0,0,0,1,0,2,1,0,0,1,5,5,12
310230,1,0,0,0,3,1,2,1,5,1,3,7,14,9,12,14,53
310240,3,0,0,0,1,0,0,1,0,2,1,2,2,0,1,2,4
310250,1,0,0,0,0,0,0,1,1,1,0,3,3,6,4,5,20
310260,7,0,2,1,3,10,6,4,5,8,17,23,20,25,22,46,78
310280,3,0,0,0,1,1,0,4,2,2,3,5,6,10,12,12,28
310285,4,0,1,0,0,1,2,1,1,2,3,3,1,5,4,1,17
310290,1,1,0,2,3,3,0,1,3,7,4,4,9,10,3,14,21
310300,2,0,1,1,2,1,3,4,4,2,7,5,5,5,5,11,11
310310,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,5
310320,0,0,0,0,0,0,1,1,2,0,1,0,4,2,0,1,5
310330,0,0,0,1,0,0,0,0,2,1,3,1,2,0,2,2,4
310340,4,3,1,5,2,8,9,4,10,14,22,12,12,21,26,25,87
310350,17,2,0,8,12,15,11,22,24,42,53,55,60,83,82,104,226
310360,0,0,0,2,1,1,0,1,2,3,2,1,2,2,4,5,7
310370,1,0,2,0,0,0,1,2,1,4,2,3,4,6,3,0,8
310375,1,0,0,0,0,1,1,1,0,4,0,2,4,5,4,1,7
310380,1,0,0,0,1,0,1,0,0,0,0,0,1,1,3,3,5
310390,2,0,0,1,0,2,0,1,1,1,1,4,3,5,4,6,15
310400,20,2,0,2,11,16,14,15,19,40,38,50,51,65,85,85,201
310410,3,0,0,0,1,1,0,1,1,1,1,4,4,12,6,16,18
310420,5,0,2,1,5,3,2,6,6,6,10,16,12,21,18,21,71
310430,6,0,0,1,1,1,2,1,3,9,6,10,10,7,15,13,32
310440,0,0,0,0,0,0,1,0,2,1,0,2,1,1,5,2,12
310445,1,0,1,0,0,1,0,1,1,5,1,2,4,0,0,2,8
310450,2,1,2,5,1,2,2,1,0,7,6,7,5,9,4,4,21
310460,3,0,0,0,1,3,2,2,3,7,5,9,14,13,8,4,37
310470,4,1,0,1,1,3,2,3,3,4,7,6,10,6,9,11,26
310480,1,0,0,0,1,1,3,0,0,1,3,2,3,4,3,3,8
310490,4,0,0,0,1,1,4,6,7,8,4,7,7,10,7,13,47
310500,1,0,1,0,0,0,1,3,7,3,5,4,2,5,4,5,11
310510,2,0,0,0,4,3,5,6,3,14,11,13,16,23,22,23,52
310520,1,0,0,0,0,0,0,1,2,0,1,2,2,1,3,3,7
310530,1,0,0,0,0,0,1,2,0,3,2,7,1,3,5,5,8
310540,3,1,1,2,2,2,5,3,6,6,15,7,13,15,9,17,49
310550,2,0,0,0,3,1,2,0,1,1,5,3,2,4,4,5,15
310560,24,2,3,5,12,7,14,24,37,61,62,93,85,87,98,104,255
310570,1,1,0,1,0,1,1,1,1,4,1,2,2,3,3,6,24
310590,2,1,0,5,2,4,7,4,4,4,11,16,6,18,23,23,34
310600,3,0,0,0,0,1,3,3,3,5,8,4,9,2,3,8,15
310610,0,0,0,0,1,0,0,2,2,1,1,1,1,4,4,5,5
310620,345,35,41,257,336,329,374,384,443,661,851,974,1071,1178,1390,1533,4639
310630,4,0,0,4,5,4,2,1,6,7,4,5,13,4,13,12,33
310640,2,0,0,2,3,0,0,3,2,5,4,3,5,4,6,5,15
310650,0,0,0,0,1,0,1,0,4,5,6,6,3,3,7,5,18
310665,2,1,0,0,1,2,1,0,0,1,3,2,1,4,1,3,7
310660,3,0,0,0,2,1,2,0,0,1,1,1,2,2,3,2,5
310670,97,10,6,82,72,76,81,78,81,101,159,146,163,163,158,152,347
310680,0,0,0,0,2,0,0,0,0,4,0,0,2,0,3,1,10
310690,5,0,0,0,1,1,1,5,4,5,8,12,8,8,12,15,39
310700,0,0,0,0,0,0,1,0,0,1,0,1,1,1,4,2,8
310710,7,0,1,0,3,1,3,7,9,9,15,21,25,21,26,26,86
310720,0,0,0,0,0,0,0,0,2,2,2,1,3,0,2,1,5
310730,7,1,0,5,8,12,9,14,6,13,10,21,17,22,26,29,44
310740,7,4,0,6,14,5,6,9,9,9,20,13,20,26,29,38,81
310750,1,0,1,1,0,1,1,1,3,2,5,3,3,2,10,11,15
310760,1,0,1,0,0,2,1,0,1,1,2,1,4,2,2,4,10
310770,0,0,0,1,0,0,1,1,0,0,4,4,2,0,3,4,7
310780,4,0,2,0,0,1,2,6,0,7,5,10,13,8,15,13,31
310790,0,0,1,3,2,3,0,2,3,3,2,4,1,5,5,6,15
310800,5,0,0,1,1,0,2,4,5,5,7,10,13,11,11,14,49
