Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
311260,1059,1114,1154,1205,1284,1260,1181,1218,1130,1140,1032,820,668,533,451,319,347
311265,440,443,403,389,406,409,380,358,324,320,333,265,234,180,152,105,133
311270,1245,1197,1399,1490,1567,1294,1133,987,881,866,719,621,444,348,277,234,203
311280,487,507,573,645,629,605,637,635,685,597,629,513,439,343,200,151,229
311290,700,690,744,781,733,709,678,673,619,586,553,465,380,286,242,181,234
311300,2119,2031,2157,2126,2053,1877,1684,1403,1226,1257,1105,979,941,676,583,505,563
311310,187,194,229,264,263,227,226,219,240,229,244,185,170,112,95,81,89
311320,1483,1537,1808,1984,2163,1982,1904,1839,1704,1795,1708,1467,1118,846,579,399,479
311330,1937,1966,2231,2662,2621,2479,2479,2361,2199,2212,2224,1989,1682,1328,896,718,968
311340,6056,6111,6854,7450,7206,7382,7281,6944,6244,5869,5285,4587,3919,2796,2164,1704,1974
311350,643,632,712,812,942,760,752,666,601,625,576,415,350,283,217,177,204
311360,453,453,515,532,497,459,504,467,487,448,385,383,302,245,175,135,170
311370,1224,1251,1353,1547,1645,1591,1450,1372,1295,1273,1168,1077,900,734,598,454,592
311380,185,187,213,223,193,192,166,180,185,154,176,117,125,88,74,56,58
311390,913,888,937,1058,1077,937,911,803,805,784,770,637,514,393,258,204,231
311400,632,644,813,938,896,812,864,867,801,837,745,640,513,420,327,255,323
311410,1092,1054,1124,1328,1243,1141,1141,1055,972,901,855,735,612,424,309,224,282
311420,1416,1420,1533,1924,1776,1695,1682,1675,1601,1525,1404,1138,843,714,497,348,387
311430,1728,1799,2015,2363,2435,2179,2272,2258,2280,2210,2114,1835,1471,1131,876,598,745
311440,1279,1323,1394,1586,1685,1598,1630,1672,1519,1431,1499,1214,1001,765,547,429,471
311450,1108,1114,1384,1571,1517,1572,1457,1391,1356,1332,1171,1013,731,621,412,363,387
311455,588,597,689,742,760,820,820,789,752,665,616,536,448,377,258,176,230
311460,246,247,275,299,342,275,282,260,255,276,301,255,227,161,122,107,106
311470,218,213,236,298,235,236,242,220,223,264,228,221,196,153,106,82,132
311480,193,211,265,330,381,343,301,304,303,384,380,294,260,196,149,111,142
311490,129,129,162,192,178,159,193,177,182,164,135,115,87,96,65,53,53
311500,193,190,177,228,194,197,190,235,233,233,217,179,140,132,124,70,72
311510,1069,1095,1287,1350,1473,1273,1279,1222,1215,1141,1143,1125,962,745,519,388,450
311530,3951,4166,4609,5414,5728,5815,5664,5455,5150,5213,5271,4616,3673,2820,2185,1610,2030
311535,360,350,405,475,434,408,381,450,378,361,305,265,189,155,107,76,88
311540,229,229,266,311,331,307,307,267,243,228,191,177,146,122,98,63,77
311545,582,565,607,613,609,529,475,437,377,358,318,278,231,177,132,111,135
311547,355,350,384,430,498,395,362,347,342,353,321,243,212,159,137,102,86
311550,1250,1307,1431,1597,1699,1473,1638,1524,1484,1481,1495,1430,1189,922,741,514,673
311560,63,60,81,96,82,76,82,72,102,68,85,76,73,52,42,47,36
311570,417,447,504,520,530,481,486,519,495,485,490,409,341,257,228,171,194
311580,657,681,701,832,794,832,738,760,713,707,670,600,491,410,328,250,272
311590,148,141,196,260,239,190,187,193,201,251,249,208,168,122,101,84,82
311600,357,343,403,469,439,452,455,426,393,359,368,313,300,195,152,120,179
311610,1267,1257,1485,1537,1594,1485,1252,1006,890,806,692,562,509,378,277,209,198
311615,1254,1137,1209,1270,1314,1299,1102,775,633,529,483,406,379,237,213,138,153
311620,182,182,199,225,185,218,164,186,174,188,200,157,143,117,96,60,75
311630,377,383,463,566,608,617,513,480,434,444,467,331,249,243,201,158,201
311640,344,346,367,384,398,380,368,322,306,275,284,284,232,173,124,85,71
311650,494,502,521,598,682,626,539,554,558,523,464,399,345,281,239,189,195
311660,1856,1840,2107,2339,2364,2434,2368,2280,1978,1782,1635,1325,1065,767,548,421,490
311670,436,445,547,612,557,513,561,559,490,534,504,434,336,287,192,148,241
311680,697,673,748,825,799,776,634,670,559,544,428,412,354,267,254,181,188
311690,222,236,216,226,232,266,277,222,203,188,237,165,115,94,71,48,57
311700,528,548,590,614,679,526,526,505,453,475,421,372,347,295,270,182,251
311710,706,736,774,748,771,812,768,753,693,685,620,562,465,359,254,184,277
311520,213,221,278,345,314,316,301,315,291,307,259,207,168,153,111,89,97
311730,2056,2052,2167,2450,2317,2575,2381,1982,1742,1554,1352,1049,807,572,387,262,288
311720,145,147,171,208,201,217,227,205,224,224,193,165,145,102,86,57,90
311740,295,305,310,298,325,304,333,326,361,348,305,260,216,167,150,125,131
311750,1356,1310,1491,1562,1702,1421,1284,1173,1068,1064,995,848,731,555,456,351,491
311760,340,346,378,397,407,407,415,399,373,377,351,296,260,213,168,119,152
311770,959,934,1030,1177,1091,1003,984,902,870,882,824,755,599,459,388,290,298
311780,794,801,832,951,942,907,867,793,821,777,675,607,450,359,240,176,186
311783,561,547,683,685,717,610,557,468,445,387,359,329,285,292,208,146,205
311787,385,383,470,587,588,509,509,530,520,425,416,331,264,164,145,102,108
311790,619,625,739,838,849,844,934,859,881,840,792,723,566,450,339,228,270
311800,3415,3503,3699,4465,4716,4604,4693,4025,3442,3593,3356,2888,2079,1492,975,722,799
311810,361,349,423,447,480,353,363,358,322,280,267,225,224,187,149,115,136
311820,417,424,503,516,583,525,566,487,464,441,448,386,329,263,181,112,168
311830,7395,7721,8449,9753,10249,11066,10975,9709,8186,8158,8288,7402,5695,4146,2857,1944,2332
