Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,568,548,528,566,538,530,572,518,432,418,363,333,244,181,136,105,60
310020,1991,2037,2163,2172,1838,1725,1828,1845,1602,1338,1070,900,774,616,474,344,240
310030,1248,1353,1384,1446,1207,975,970,937,866,710,578,477,451,380,296,236,159
310040,352,383,410,393,365,325,266,284,240,179,159,143,122,112,102,97,57
310050,1211,1250,1277,1232,964,806,699,666,569,522,473,446,423,373,315,233,153
310060,2277,2313,2236,1952,1568,1217,1082,1015,864,711,601,541,459,374,289,220,172
310070,165,197,209,199,182,172,165,144,147,122,106,98,70,55,40,37,27
310080,319,313,327,331,305,263,279,269,258,241,193,144,136,116,96,81,45
310090,1888,2050,2129,2140,1633,1250,1136,1046,925,820,732,703,628,479,338,272,202
310100,1358,1466,1563,1443,1083,835,786,715,639,552,467,390,336,249,168,143,91
310110,2233,2284,2429,2456,2231,1929,1860,1777,1621,1439,1176,1001,943,803,642,527,357
310120,548,602,570,581,514,478,509,503,466,389,306,281,244,217,176,117,87
310130,254,277,247,253,191,165,208,244,202,184,142,117,107,104,74,55,33
310140,282,266,252,260,265,255,219,188,186,168,134,120,91,83,69,53,30
310150,2965,3005,2916,3036,2894,2564,2583,2699,2582,2074,1583,1338,1192,1083,841,733,452
310160,6156,6322,6618,6931,6597,5410,5193,5182,4885,4068,3207,2492,2001,1580,1225,986,666
310163,494,531,514,512,508,452,438,401,350,284,238,195,155,113,80,60,31
310170,3467,3555,4158,4298,3423,2643,2471,2364,2046,1755,1483,1312,1167,962,679,500,428
310180,705,727,749,740,671,519,447,483,427,360,289,268,226,176,148,129,102
310190,1695,1743,1731,1693,1459,1329,1403,1356,1195,1006,771,590,495,414,347,255,164
310200,1184,1198,1278,1248,1128,1013,1031,987,880,750,628,541,470,376,285,224,175
310205,512,475,484,497,436,400,370,345,295,253,198,149,136,113,88,84,36
315350,817,813,881,845,776,642,641,639,572,488,356,252,237,240,189,157,103
310210,1161,1360,1475,1434,1202,962,972,903,823,720,631,562,506,419,358,289,198
310220,458,500,597,620,433,333,308,361,338,268,215,205,182,166,115,77,63
310230,1437,1500,1558,1569,1391,1117,1090,1153,988,833,732,588,540,494,369,335,237
310240,434,446,432,375,301,252,236,205,171,162,127,111,105,73,69,75,43
310250,504,552,574,565,468,375,382,350,342,266,238,205,201,171,158,123,83
310260,2698,2813,2928,3120,3065,2824,2786,2693,2423,2079,1654,1341,1163,1040,805,573,350
310280,997,1083,1095,1171,1075,957,914,941,873,766,628,520,475,405,302,241,154
310285,1075,1081,1046,934,686,508,450,393,353,288,222,195,180,131,78,60,44
310290,983,1090,1053,1057,1010,919,898,868,746,571,531,417,339,253,195,144,97
310300,1092,1119,1102,1079,927,751,739,684,580,470,371,335,333,253,182,127,85
310310,119,152,151,165,141,131,153,141,122,107,91,89,75,62,64,36,23
310320,209,210,205,229,200,160,181,162,136,113,100,82,78,48,35,30,33
310330,148,197,199,191,161,118,157,144,175,143,120,90,74,72,62,56,27
310340,3653,4039,4276,4340,3317,2575,2354,2211,1900,1511,1339,1205,1146,935,726,623,487
310350,8644,8928,9687,9901,9682,8658,8673,8423,7292,6049,5053,4060,3402,2615,1990,1486,994
310360,267,259,246,254,235,208,239,235,207,178,164,110,108,96,79,54,28
310370,880,900,934,947,826,632,527,498,415,366,294,241,225,180,117,107,55
310375,564,545,531,546,523,496,466,408,345,296,244,181,149,110,67,50,31
310380,203,227,232,240,226,232,233,210,181,174,168,131,113,84,71,52,39
310390,607,578,650,638,584,531,537,515,441,344,278,236,200,160,142,98,53
310400,6737,7250,7736,8200,7517,6397,6443,6575,6167,5115,3937,3029,2464,1918,1427,1179,808
310410,675,702,792,812,717,610,640,595,571,495,402,351,311,274,220,165,98
310420,2619,2842,3131,3489,3237,2735,2824,2816,2510,2051,1594,1247,951,730,547,432,259
