Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,0,0,1,0,1,0,0,0,2,2,0,1,6,5,3,8,10
310020,6,0,0,1,3,3,1,1,2,10,6,18,15,22,23,15,46
310030,4,0,0,0,2,1,3,3,5,0,4,6,9,2,11,12,27
310040,1,0,0,0,0,0,0,1,0,0,0,3,3,1,1,2,5
310050,2,0,0,1,0,0,1,3,1,4,2,2,3,6,5,5,18
310060,0,0,1,1,0,1,1,5,1,3,2,1,5,11,3,8,17
310070,2,0,0,0,0,0,1,1,1,0,1,2,2,2,1,0,3
310080,0,0,0,0,1,0,1,1,0,0,1,0,3,2,2,3,12
310090,8,1,0,2,1,1,3,6,6,8,4,8,8,5,18,11,34
310100,0,0,0,0,4,1,1,2,1,1,2,5,2,2,8,7,8
310110,6,3,2,6,3,2,4,6,6,3,9,9,15,17,21,21,69
310120,2,0,0,0,0,0,1,1,3,3,2,5,3,4,7,11,17
310130,0,0,0,0,0,0,0,0,1,0,1,2,3,0,5,3,7
310140,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1
310150,12,0,1,3,2,2,5,9,12,20,23,30,23,29,41,43,99
310160,13,4,4,2,16,12,15,13,25,25,38,31,28,54,55,52,138
310163,1,0,0,1,1,0,2,0,1,2,3,2,2,1,3,4,8
310170,13,0,1,2,2,5,5,8,8,17,10,13,22,21,33,25,63
310180,0,0,1,0,1,0,0,0,0,6,3,1,3,5,6,4,11
310190,5,1,0,2,3,3,1,4,4,5,7,7,8,10,11,14,41
310200,1,1,0,0,2,1,2,2,6,3,8,3,10,11,10,16,22
310205,2,0,0,1,0,0,2,1,1,4,3,1,7,1,2,8,11
315350,1,0,1,1,1,0,2,0,1,1,1,3,2,3,3,8,15
310210,1,0,1,0,1,2,0,4,3,6,6,8,5,7,11,13,30
310220,0,0,0,0,1,1,0,0,1,2,0,1,2,4,3,1,5
310230,8,1,0,1,1,0,1,0,7,2,7,6,5,5,8,18,41
310240,1,0,0,1,1,1,0,0,0,1,5,1,2,2,1,2,5
310250,1,0,0,1,1,0,1,1,1,1,1,6,3,3,5,2,18
310260,3,0,0,3,5,2,4,2,3,13,19,12,19,23,25,34,74
310280,0,0,1,0,4,1,1,4,3,5,5,5,9,7,11,11,26
310285,4,0,1,1,3,4,1,0,0,1,0,2,0,4,6,4,15
310290,2,0,0,0,0,1,1,2,3,6,4,3,8,7,10,12,19
310300,2,1,0,0,2,1,3,2,1,3,5,3,2,8,6,4,9
310310,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2
310320,0,1,0,1,0,0,1,0,0,0,1,1,2,0,0,2,4
310330,0,0,0,0,0,0,0,2,0,0,0,1,0,2,3,2,7
310340,7,0,3,3,9,5,9,3,9,5,17,18,13,15,21,35,71
310350,19,1,1,13,16,12,21,22,39,32,46,58,65,79,74,84,215
310360,0,0,0,0,0,0,1,0,0,0,2,0,1,1,2,1,8
310370,0,0,0,1,1,1,1,4,0,1,2,5,1,2,6,5,13
310375,1,0,0,0,0,0,0,0,0,2,0,0,1,4,6,3,4
310380,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,2,5
310390,1,0,1,0,1,3,3,1,0,0,1,3,2,7,3,5,4
310400,12,0,0,5,7,13,15,15,18,31,46,52,47,50,78,87,187
310410,0,0,0,0,1,1,2,0,3,3,3,5,1,8,12,5,33
310420,7,0,2,3,1,4,3,4,9,12,18,24,8,17,25,20,75
310430,1,0,1,0,0,4,2,1,4,6,6,5,10,4,9,7,31
