Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,2,1,0,0,0,0,1,1,0,0,1,4,6,4,4,2,6
310020,7,0,0,2,3,0,3,6,3,4,10,5,11,13,13,18,25
310030,8,2,0,0,1,1,2,2,3,7,4,4,4,10,11,10,30
310040,2,0,0,0,0,0,0,0,2,1,2,1,1,1,0,2,0
310050,4,0,0,1,1,0,1,1,1,2,4,3,2,3,8,7,12
310060,4,0,0,1,3,4,4,2,1,1,1,4,6,7,8,5,14
310070,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
310080,1,0,0,1,0,0,0,0,0,0,2,1,3,0,6,4,5
310090,6,1,1,1,1,3,1,5,8,5,1,2,8,6,9,5,24
310100,5,0,1,0,0,1,1,1,2,1,3,2,7,4,5,6,16
310110,10,0,2,2,3,2,4,7,7,11,10,8,11,17,17,20,40
310120,2,0,0,0,0,0,2,1,2,1,0,3,2,4,6,5,8
310130,1,0,0,0,1,0,0,1,0,0,0,1,0,1,2,1,2
310140,1,0,1,0,0,0,1,0,0,1,0,1,1,2,3,1,3
310150,12,0,0,2,4,6,4,11,15,15,12,22,20,25,28,22,74
310160,27,2,2,4,7,11,8,14,12,23,17,25,27,33,45,54,100
310163,2,0,0,0,2,0,1,1,0,2,0,2,0,3,4,2,5
310170,19,2,1,4,3,4,5,6,5,7,11,14,13,20,28,13,49
310180,1,0,0,0,0,0,0,3,0,1,1,4,1,0,3,5,11
310190,6,0,0,0,1,1,1,5,2,7,6,5,3,15,17,11,21
310200,8,0,0,1,0,1,3,2,2,1,6,5,6,8,4,8,22
310205,3,0,0,0,0,0,0,0,1,1,2,2,2,0,1,1,4
315350,1,0,0,0,3,0,5,1,2,1,5,1,1,6,7,8,16
310210,7,0,2,0,1,1,3,3,5,3,2,4,7,7,17,16,23
310220,2,0,0,0,0,1,1,0,0,2,2,1,1,5,5,1,11
310230,6,0,1,1,2,2,5,2,4,5,4,4,3,5,12,5,35
310240,1,0,0,0,0,0,1,1,1,2,0,1,3,2,2,1,7
310250,3,0,0,1,0,0,0,0,1,0,1,2,1,1,3,2,6
310260,8,1,0,1,4,3,6,5,6,8,7,16,22,25,23,26,54
310280,3,0,0,0,1,2,4,2,2,4,4,8,9,14,9,15,31
310285,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0
310290,8,0,0,0,0,3,2,3,5,8,4,6,3,6,7,5,18
310300,5,1,2,1,2,2,0,1,3,2,4,3,5,3,7,4,9
310310,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
310320,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,4
310330,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,2
310340,7,0,0,1,4,4,3,6,6,6,11,9,9,9,5,8,17
310350,26,0,1,8,8,10,19,16,27,33,36,43,44,51,58,69,128
310360,0,0,0,0,0,0,2,2,0,0,0,2,0,1,2,4,9
310370,7,0,0,1,1,0,0,1,2,1,1,2,1,1,4,2,8
310375,1,0,1,0,1,2,0,1,0,1,3,2,3,2,3,1,4
310380,1,0,0,0,1,0,0,0,0,1,1,0,2,1,1,3,4
310390,7,0,0,0,0,0,0,0,4,3,2,5,4,2,3,2,4
310400,29,3,5,5,10,10,15,18,21,30,38,35,33,55,45,57,111
310410,2,0,0,1,1,0,1,2,3,1,4,6,4,3,2,6,9
310420,5,1,4,3,3,3,3,6,13,9,14,14,15,14,14,20,33
310430,5,0,0,0,2,2,1,2,6,4,2,8,3,6,9,16,15
310440,0,0,0,0,0,0,1,0,2,1,1,2,0,2,1,2,3
310445,1,0,0,0,1,0,0,0,0,0,0,1,2,0,3,1,4
310450,9,0,0,2,2,2,2,2,4,4,4,6,3,4,11,6,18
310460,6,0,0,3,2,0,1,1,3,2,4,3,4,7,4,13,20
310470,11,0,0,0,1,0,3,2,2,0,0,1,3,1,2,2,6
310480,3,0,0,0,0,0,0,2,1,0,0,0,2,2,2,0,3
310490,2,0,3,3,0,1,0,4,5,11,3,2,9,11,16,6,32
310500,3,0,0,0,0,0,0,0,1,2,1,1,2,2,3,2,4
310510,1,0,1,3,1,0,2,3,3,5,8,14,12,24,21,14,39
310520,0,0,0,0,1,0,0,2,0,1,2,1,2,4,2,7,8
310530,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,2
310540,9,0,2,1,4,4,3,6,7,5,13,9,10,11,13,18,28
310550,1,0,0,0,1,0,0,1,1,0,1,4,2,4,4,2,11
310560,52,3,1,6,14,10,15,40,37,52,49,57,76,78,86,100,177
310570,2,0,1,1,0,1,2,0,2,0,2,1,5,2,7,3,15
310590,9,2,0,1,1,5,4,7,7,15,7,8,9,14,5,13,19
310600,2,0,0,0,2,0,2,1,2,2,3,4,6,5,5,4,3
310610,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,1,1
310620,518,43,57,280,374,334,340,412,523,628,742,792,910,1151,1229,1229,2923
310630,9,1,2,0,2,3,0,0,2,5,2,9,5,7,2,8,17
310640,2,1,0,1,0,1,1,1,1,1,5,3,7,5,3,1,16
310650,3,2,0,2,1,2,2,1,5,1,4,4,1,5,2,3,9
310665,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
310660,1,0,0,1,0,1,0,0,0,0,2,1,2,2,1,0,5
310670,133,10,7,39,55,63,50,66,66,95,85,76,111,124,130,115,179
310680,2,0,0,0,1,0,2,0,2,0,4,3,2,2,5,4,10
310690,5,1,0,0,0,0,3,3,5,6,8,5,8,14,12,12,43
310700,0,0,0,0,0,0,1,0,1,2,0,2,1,2,1,1,2
310710,17,0,0,1,2,5,4,11,5,13,17,14,26,20,19,35,55
310720,0,0,1,0,0,0,1,1,0,1,1,0,2,0,1,0,5
310730,20,1,0,3,4,2,11,15,16,14,15,13,24,11,12,16,34
310740,10,1,2,2,3,2,7,8,10,22,19,9,13,24,28,28,54
310750,0,0,0,1,0,1,2,2,3,2,3,2,5,3,12,7,19
310760,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,1,3
310770,3,0,0,0,0,0,0,1,0,1,1,4,0,3,5,3,10
310780,3,0,1,2,1,2,3,2,2,5,6,7,8,7,11,12,31
310790,6,0,0,1,0,0,1,1,4,3,2,0,2,3,6,4,10
310800,6,1,0,1,1,1,1,5,4,7,9,6,9,11,15,11,27
310810,0,0,0,0,1,0,1,1,1,4,1,4,3,3,4,8,13
310820,0,0,0,0,1,0,1,1,1,2,0,1,1,1,1,1,5
310825,0,0,0,0,0,0,0,0,0,2,0,0,2,4,4,2,8
310830,5,0,0,0,1,1,4,5,1,7,3,2,10,10,8,12,22
310840,1,0,0,2,1,2,1,2,7,2,2,7,4,8,8,13,14
310850,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
310870,2,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,6
310855,4,0,1,1,0,2,3,0,1,1,3,2,1,1,6,2,3
310860,12,2,2,1,4,4,4,4,8,5,12,8,12,11,11,11,34
310880,1,0,0,0,0,1,1,0,1,0,4,3,1,2,1,1,8
310890,3,1,0,2,2,1,7,1,7,4,4,12,4,14,11,19,30
310900,5,1,0,1,2,6,2,5,5,8,11,10,9,15,12,18,24
310910,5,0,0,1,1,2,1,1,1,3,3,4,3,4,14,7,16
310920,2,0,0,0,1,1,3,5,0,2,0,0,3,9,3,6,15
310925,1,0,0,0,0,2,0,1,1,2,1,0,2,4,2,0,1
310930,9,2,0,1,5,3,3,4,3,6,4,8,4,10,8,5,17
310940,13,2,0,6,4,4,6,8,7,6,5,12,8,10,6,10,31
310945,0,0,0,0,0,1,0,0,3,1,0,1,1,1,1,0,1
310950,2,0,1,0,0,0,0,2,3,2,5,0,10,8,15,7,16
310960,2,0,0,1,0,0,0,2,2,1,4,2,1,1,5,4,6
310970,1,1,0,0,0,0,2,2,2,1,4,2,5,7,8,6,14
310270,2,1,1,0,3,2,1,1,0,1,1,0,2,2,1,6,3
310980,0,1,0,0,0,1,1,0,0,1,1,1,3,1,0,1,3
310990,3,0,0,0,0,1,1,3,2,5,4,4,5,3,6,10,13
311000,23,0,0,3,7,3,5,5,9,7,15,16,16,21,22,26,43
311010,1,0,0,0,0,1,0,0,0,2,0,2,0,3,0,4,3
311020,4,0,0,0,0,0,0,1,1,0,2,1,2,2,3,3,5
311030,4,1,0,0,1,0,3,1,2,1,5,3,1,4,7,5,16
311040,1,0,0,0,0,0,0,0,0,1,1,0,1,2,3,2,3
311050,8,1,1,2,5,2,9,6,4,11,4,10,18,20,14,9,28
311060,7,0,0,2,4,0,4,4,8,4,7,7,11,12,24,13,30
311070,7,0,1,3,0,2,2,2,2,4,2,4,4,11,11,13,20
311080,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,1,2
311090,9,0,1,1,0,4,0,4,4,6,5,7,9,9,18,9,28
311100,2,0,0,1,1,1,1,1,2,3,6,7,11,9,12,15,31
