Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,0,1,0,1,1,1,1,1,1,2,4,2,4,3,9,7,14
310020,3,0,1,1,0,2,2,5,6,8,12,15,14,13,13,19,50
310030,0,0,0,1,0,0,4,5,8,5,10,5,7,9,12,17,43
310040,0,0,0,0,1,0,0,2,1,3,2,4,5,2,2,2,10
310050,0,0,1,0,3,3,1,1,2,0,4,5,2,2,6,9,28
310060,4,0,0,2,1,2,4,7,1,7,7,8,7,7,11,8,29
310070,0,0,0,0,0,1,1,0,0,1,1,2,2,2,1,4,5
310080,3,0,0,0,0,1,1,1,1,2,0,4,2,4,2,2,9
310090,5,0,0,1,2,1,3,4,10,8,8,8,13,13,10,13,50
310100,0,0,0,1,2,2,3,0,2,0,3,2,3,9,5,7,24
310110,0,1,0,2,4,4,6,7,4,9,6,10,16,14,21,35,82
310120,0,0,0,0,1,0,0,1,3,1,4,5,2,6,10,9,32
310130,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,3,6
310140,0,0,0,1,0,0,0,1,1,0,1,3,1,1,3,2,3
310150,10,2,0,2,2,3,4,4,16,13,11,16,26,28,29,41,109
310160,16,2,2,6,5,8,14,10,17,22,41,38,56,59,72,75,183
310163,2,0,0,0,2,0,0,2,2,4,3,8,1,2,3,8,8
310170,9,2,3,3,0,3,14,5,8,13,9,14,11,19,35,33,93
310180,0,0,0,0,2,1,1,0,2,3,7,8,4,1,6,8,11
310190,1,0,1,1,1,2,3,1,3,7,10,7,7,14,16,11,35
310200,2,0,0,1,1,0,3,4,3,4,5,8,5,16,12,19,45
310205,0,0,0,0,0,1,0,1,0,0,1,2,3,1,4,1,8
315350,0,0,0,0,2,0,0,3,4,1,3,6,8,4,8,8,28
310210,5,0,0,0,3,1,3,3,3,3,6,3,13,7,11,12,45
310220,0,0,0,2,0,0,1,0,0,2,1,1,3,3,5,8,15
310230,7,0,0,0,2,4,1,1,1,3,2,7,6,9,10,16,65
310240,3,0,0,0,3,0,2,0,2,0,0,0,3,2,4,2,13
310250,0,0,0,0,2,0,1,0,2,2,1,3,3,1,3,7,16
310260,6,0,0,4,3,2,2,9,6,7,18,15,42,31,39,39,109
310280,1,0,0,2,0,0,3,1,2,2,4,4,12,5,14,16,30
310285,3,0,0,1,0,0,2,2,2,1,0,5,3,5,3,4,13
310290,3,0,0,1,0,2,0,1,5,4,7,7,4,8,13,10,26
310300,3,0,2,1,1,0,0,2,2,3,3,2,3,3,5,6,23
310310,2,0,0,0,0,0,1,0,0,0,2,1,3,1,1,3,7
310320,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,7
310330,0,0,0,0,0,0,0,0,0,1,0,4,3,2,2,1,8
310340,7,1,0,1,3,5,7,4,6,13,15,16,18,18,21,24,90
310350,22,2,1,9,10,17,11,26,23,33,37,57,63,73,97,118,277
310360,0,0,0,0,0,0,0,0,1,0,3,1,2,0,2,5,9
310370,1,0,1,1,3,0,0,2,4,2,1,4,2,2,4,5,14
310375,1,0,1,1,1,0,0,0,2,0,2,5,3,5,1,3,14
310380,1,0,0,1,1,0,0,0,1,0,1,1,2,1,0,5,19
310390,2,1,1,1,3,1,2,1,0,3,3,3,5,2,3,5,16
310400,17,1,2,3,8,4,12,19,25,32,42,61,62,73,74,101,220
310410,1,1,0,0,0,1,1,0,1,1,2,7,3,5,8,4,23
310420,9,0,0,1,6,6,4,2,3,10,21,20,19,25,27,15,76
310430,2,0,0,1,0,3,3,1,1,4,5,8,9,9,14,8,45
310440,0,0,0,0,0,0,0,0,0,2,2,2,0,1,4,3,11
310445,0,0,0,0,0,0,0,3,1,0,0,2,4,0,6,1,5
310450,6,0,3,4,3,0,3,1,1,4,5,6,7,8,10,15,31
310460,4,0,0,0,2,1,0,2,2,3,6,8,14,9,9,10,31
310470,5,1,0,0,1,3,1,4,4,4,6,6,7,7,11,12,33
310480,0,0,0,1,0,2,2,0,0,2,2,5,3,2,3,6,14
310490,3,0,0,2,1,0,4,0,8,1,7,6,13,19,6,20,63
310500,2,0,0,0,1,1,3,1,2,1,1,4,3,6,1,12,28
310510,2,0,0,0,4,2,6,4,7,5,10,13,16,17,23,28,74
310520,1,0,0,0,0,0,2,1,0,2,0,1,1,5,5,2,11
310530,1,1,0,1,0,0,2,2,2,2,1,7,1,4,7,5,6
310540,7,2,0,2,0,3,5,3,8,6,4,13,18,17,15,11,44
310550,3,0,0,1,1,1,0,0,0,2,3,1,4,8,5,4,17
310560,20,1,0,3,7,7,8,20,36,42,61,99,91,100,103,108,338
310570,1,1,0,0,1,2,2,0,0,2,3,3,4,2,6,3,18
310590,4,2,0,0,0,3,3,3,3,5,13,13,18,13,14,17,35
310600,1,1,0,0,0,3,2,2,2,3,3,2,4,7,3,13,23
310610,0,0,0,0,0,1,0,0,0,3,2,1,1,7,3,1,14
310620,341,27,38,204,229,211,238,321,377,562,772,1077,1204,1353,1480,1688,5657
310630,6,0,1,5,4,4,3,3,7,3,15,11,11,10,15,15,39
310640,2,0,0,0,0,0,0,0,2,1,3,6,5,3,3,5,25
310650,3,0,1,0,1,0,1,0,2,3,4,6,3,9,6,8,17
310665,1,0,0,0,0,0,1,0,0,2,0,1,5,0,0,5,9
310660,4,1,0,0,0,1,1,0,0,0,1,3,1,3,2,3,13
310670,64,8,10,69,65,66,69,64,101,102,123,161,216,197,202,194,456
310680,1,0,0,1,0,0,0,0,0,0,2,2,2,4,1,3,12
310690,2,0,0,0,0,1,1,2,5,5,9,6,10,18,14,13,58
310700,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,11
310710,8,1,1,0,2,5,6,5,6,9,21,25,28,30,22,30,92
310720,0,0,0,0,2,0,0,0,2,0,5,1,3,3,4,5,11
310730,11,2,2,2,4,4,6,4,8,17,20,25,24,31,27,30,88
310740,8,0,2,4,2,2,7,5,16,17,12,22,28,33,32,48,95
310750,1,0,0,2,1,1,0,3,3,6,3,4,5,7,12,8,27
310760,0,0,0,0,0,1,0,1,0,1,0,1,1,2,4,2,7
310770,0,0,0,0,4,0,1,2,2,0,1,3,1,1,3,2,10
310780,0,0,0,1,3,2,1,3,5,7,6,6,11,12,15,15,48
310790,1,0,0,0,1,2,2,6,3,4,2,7,9,11,4,3,20
310800,4,0,1,1,3,0,4,3,3,13,10,6,16,8,12,12,50
310810,1,0,0,0,2,0,1,1,2,1,2,6,4,5,4,8,23
310820,1,0,0,1,0,1,0,0,1,0,4,2,2,3,6,9,18
310825,1,0,2,1,0,0,1,3,3,6,1,3,1,2,8,3,16
310830,3,0,0,1,0,1,1,4,5,2,6,7,12,11,9,23,56
310840,7,0,0,0,1,2,1,1,2,2,7,11,12,4,14,17,43
310850,1,0,0,0,0,0,2,2,2,1,2,2,4,3,4,4,11
310870,0,0,0,0,0,1,0,1,1,0,3,2,2,2,6,5,19
310855,6,0,0,1,5,4,3,7,7,2,5,10,10,9,8,9,18
310860,5,0,1,4,1,2,4,6,4,9,10,16,12,16,19,21,114
310880,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,5,15
310890,4,0,1,0,0,0,3,2,0,7,6,8,3,9,15,12,38
310900,3,0,0,3,6,3,6,5,7,3,12,20,18,18,17,28,68
310910,1,0,0,1,0,2,1,1,2,2,4,8,16,7,13,13,42
310920,1,0,0,2,2,2,2,2,1,3,3,2,6,7,8,15,30
310925,0,0,0,2,0,0,1,0,1,2,1,2,1,1,0,4,9
310930,3,0,1,1,4,1,6,3,7,9,14,6,8,10,12,18,30
310940,4,0,2,4,2,4,6,8,5,9,9,13,12,12,12,12,42
310945,0,0,0,1,0,0,1,1,3,1,4,2,5,3,8,3,8
310950,2,0,0,2,1,1,1,3,3,4,2,9,8,10,16,8,26
310960,1,0,0,0,2,0,1,2,0,2,2,2,1,5,0,3,10
310970,4,1,0,0,0,1,1,2,1,4,2,1,3,5,9,6,22
310270,2,1,2,2,1,0,3,2,1,3,6,4,3,6,7,4,18
310980,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,4
310990,1,0,0,1,0,2,3,3,1,2,3,10,5,14,9,7,28
311000,6,0,0,4,4,5,2,5,6,13,19,21,27,35,29,21,89
311010,0,0,0,0,0,0,0,0,0,5,2,1,2,1,4,5,14
311020,0,0,0,1,0,1,0,1,1,4,2,1,2,5,1,4,12
311030,0,0,0,1,0,1,2,3,3,5,5,3,5,6,16,18,52
311040,0,0,0,0,0,1,0,3,0,1,0,0,1,3,3,4,3
311050,3,0,0,0,3,2,5,4,4,3,10,15,17,14,21,14,39
311060,2,0,0,1,2,0,2,4,6,9,6,9,15,25,22,36,86
311070,1,0,0,1,2,1,3,0,3,4,8,6,5,7,15,7,34
311080,0,0,0,0,0,1,0,2,1,2,5,1,3,3,0,6,4
311090,4,0,0,1,1,1,2,0,4,7,7,6,9,9,9,10,41
311100,3,0,0,2,3,1,1,8,2,9,10,9,16,10,11,17,51
311110,3,0,0,2,0,0,2,1,4,2,9,9,13,4,13,10,36
311115,2,0,0,1,0,0,0,0,0,2,0,1,1,2,2,0,7
311120,7,1,0,4,5,8,10,6,7,8,21,33,45,38,41,58,167
311130,1,0,1,0,2,2,3,4,1,5,7,9,8,6,11,8,27
311140,2,0,1,0,3,1,0,0,2,3,3,3,1,3,3,6,16
311150,1,0,0,2,2,0,1,6,4,8,4,9,13,7,10,7,28
311160,7,0,1,2,2,0,1,4,7,9,14,11,21,19,22,20,48
311190,1,0,0,1,0,0,0,1,1,0,1,1,8,8,7,5,20
311170,0,0,0,1,0,0,1,0,1,0,1,1,0,4,1,3,11
311180,2,0,0,0,0,0,1,3,2,2,5,8,4,4,5,7,19
311200,0,0,0,1,3,2,1,0,3,4,6,5,6,8,8,14,38
311205,1,0,0,0,0,0,0,2,3,1,1,0,0,2,1,1,8
311210,1,0,0,3,0,0,3,4,0,1,2,1,6,2,2,2,10
311220,0,0,0,1,1,0,0,0,0,0,3,4,1,1,2,5,14
311230,6,0,1,1,6,7,3,12,12,8,13,12,20,21,15,29,59
311240,1,0,0,0,0,2,0,0,1,3,2,7,5,3,2,2,14
311250,2,0,0,1,1,1,0,0,1,3,2,5,10,7,5,6,17
311260,4,0,1,0,0,3,0,1,1,2,4,6,5,6,17,17,31
311265,1,1,0,0,0,0,2,2,1,1,0,1,3,5,7,1,10
311270,3,0,1,0,1,2,2,0,8,3,5,4,5,10,7,10,22
311280,0,0,0,0,1,0,0,2,1,3,0,5,6,9,4,2,22
311290,1,0,0,0,0,2,0,2,1,4,5,7,7,11,2,5,15
311300,9,0,0,3,4,2,7,7,10,11,6,8,8,13,10,20,54
311310,2,0,0,0,0,0,1,0,0,3,2,1,2,2,4,2,6
311320,8,0,0,0,2,2,6,5,7,5,13,12,22,22,23,17,52
311330,6,1,0,3,3,2,4,7,9,5,17,27,23,25,23,28,122
311340,25,0,1,8,7,6,12,14,26,28,31,53,35,64,63,100,245
311350,0,0,0,0,0,1,0,2,5,1,6,7,2,4,9,4,7
311360,1,0,0,0,0,0,1,1,2,1,2,2,5,7,3,4,12
311370,2,0,0,3,3,3,4,3,3,4,13,11,13,10,19,10,72
311380,1,0,0,0,1,1,0,1,2,1,1,0,3,3,1,3,6
311390,1,0,0,0,0,1,1,2,2,2,2,8,14,7,11,13,20
311400,0,0,0,0,1,2,1,1,2,2,5,7,5,5,7,8,40
311410,2,0,0,2,1,1,1,4,2,9,3,8,5,9,10,8,21
311420,1,0,0,0,4,3,3,3,5,3,11,10,13,5,11,8,45
311430,4,0,1,1,2,2,3,8,5,17,9,13,12,14,28,15,78
311440,2,1,1,0,0,2,0,4,4,8,6,10,10,16,16,17,56
311450,4,0,0,1,0,2,2,1,3,4,5,5,6,8,9,14,48
311455,2,0,0,0,3,2,0,2,4,2,1,6,4,4,8,8,12
311460,2,0,0,0,2,0,1,2,1,1,2,1,4,4,6,4,9
311470,0,0,0,0,0,0,0,0,1,1,2,1,4,2,2,3,13
311480,2,0,0,0,0,0,1,0,0,1,2,4,7,7,4,7,13
311490,1,0,0,0,0,0,1,0,1,0,1,1,1,0,3,3,8
311500,0,0,0,0,0,0,0,1,2,2,0,0,2,3,3,3,3
