Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,1,0,0,0,1,0,1,4,2,1,0,2,6,2,5,2,14
310020,2,0,1,0,0,5,3,6,5,6,6,15,10,15,12,16,41
310030,7,0,0,0,0,0,6,2,1,2,5,6,4,7,7,12,30
310040,0,0,0,0,1,1,0,1,1,4,1,1,1,1,4,1,4
310050,1,2,0,0,0,2,1,0,6,3,6,6,5,3,4,4,21
310060,5,0,0,0,1,1,1,3,1,5,0,5,1,7,5,11,25
310070,0,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,5
310080,2,0,0,0,1,0,0,0,2,3,1,0,1,4,7,7,12
310090,3,0,1,0,1,2,5,5,7,7,7,11,13,7,11,15,32
310100,2,2,1,3,2,3,1,2,1,2,5,3,1,5,9,2,10
310110,6,2,3,3,8,3,6,5,5,10,11,7,12,17,21,19,67
310120,0,0,1,0,0,0,1,2,1,3,9,0,2,4,4,8,18
310130,0,0,0,0,0,0,1,1,2,1,2,2,0,0,3,3,7
310140,0,0,0,0,0,0,0,1,1,1,0,0,1,1,5,3,2
310150,9,2,1,0,2,7,4,7,17,12,23,22,31,26,30,50,106
310160,4,0,1,5,10,6,10,18,30,23,37,53,50,47,47,66,155
310163,1,0,0,0,0,2,1,0,1,1,1,1,4,7,5,5,6
310170,11,0,1,1,6,2,2,7,7,12,14,15,10,19,32,28,56
310180,1,0,1,1,2,3,2,1,1,1,3,4,5,7,6,6,6
310190,2,0,0,2,1,1,1,2,3,6,9,8,4,11,16,8,26
310200,2,0,0,3,0,0,1,6,4,1,3,7,5,11,9,18,34
310205,1,0,1,0,0,0,1,0,1,0,2,2,2,3,5,7,8
315350,0,0,0,1,2,2,0,3,3,2,4,2,1,6,3,8,28
310210,2,0,0,0,1,1,5,1,2,4,3,7,9,7,5,13,32
310220,1,0,0,0,0,1,2,0,1,1,1,1,2,2,3,1,8
310230,1,0,0,1,2,0,1,3,3,4,7,4,3,10,7,13,32
310240,1,0,0,0,0,0,0,1,2,2,3,1,4,1,5,1,7
310250,1,0,0,0,0,1,3,1,2,0,5,2,1,4,6,4,16
310260,2,1,1,1,4,2,2,4,9,13,10,16,24,23,24,35,75
310280,2,0,0,0,0,0,0,4,1,3,6,5,3,12,12,17,37
310285,7,0,0,0,1,0,1,2,3,2,1,1,1,3,3,10,7
310290,2,0,0,0,2,2,1,2,3,3,5,4,6,8,8,8,18
310300,2,0,0,1,1,4,1,6,0,2,2,2,4,4,2,5,8
310310,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,2,8
310320,2,0,0,0,0,1,0,1,0,1,1,1,2,4,1,1,2
310330,0,0,0,0,0,0,0,1,1,0,0,2,2,1,2,1,5
310340,12,1,1,3,4,7,3,6,14,6,15,11,20,21,22,34,74
310350,22,2,2,10,12,15,16,18,30,37,46,52,61,61,89,81,207
310360,0,0,0,0,0,0,0,0,2,0,1,0,0,3,1,2,5
310370,1,0,0,1,1,3,0,1,0,2,1,1,3,3,1,10,10
310375,6,1,0,2,1,2,0,4,1,0,2,2,5,3,2,6,8
310380,0,0,0,0,0,0,0,0,1,0,1,2,2,0,3,0,2
310390,3,0,0,0,1,0,2,1,2,5,3,2,1,2,3,9,19
310400,22,2,2,11,10,7,20,25,18,31,48,57,61,72,75,88,174
310410,1,0,0,0,1,1,0,1,2,4,2,2,3,3,7,10,20
310420,4,1,1,0,2,8,4,4,11,9,7,14,14,19,26,24,56
310430,2,0,0,1,1,2,3,1,3,3,8,6,6,15,11,16,36
310440,0,0,0,0,0,1,0,0,3,0,2,1,3,1,1,6,7
310445,2,0,0,0,0,1,0,1,0,1,1,2,2,1,2,3,8
310450,4,1,1,2,1,2,2,2,4,3,3,7,6,5,9,9,24
310460,1,0,0,0,0,0,0,2,6,8,4,4,9,7,5,14,22
310470,2,0,0,1,3,3,1,2,4,0,4,5,4,10,5,14,21
310480,0,0,1,1,2,2,0,2,0,0,1,1,3,3,3,2,8
310490,3,1,1,0,3,3,0,2,2,2,5,5,12,12,20,11,49
310500,1,1,0,0,1,0,4,5,2,3,6,8,5,5,6,5,18
310510,3,0,1,2,4,2,4,0,1,7,7,15,13,25,29,22,53
310520,2,0,0,0,0,2,0,0,0,2,4,1,1,5,3,2,4
310530,2,0,2,5,2,0,2,3,0,2,6,1,2,2,4,5,16
310540,6,0,3,1,6,4,4,6,7,7,8,13,12,6,18,8,40
310550,0,0,0,0,0,0,0,1,3,0,3,5,5,3,3,13,12
310560,37,0,1,6,13,12,16,16,27,60,66,71,84,82,84,99,241
310570,0,0,1,0,0,0,0,1,2,0,3,1,1,4,2,4,18
310590,4,1,0,1,2,4,2,2,1,8,21,6,9,14,12,11,39
310600,1,0,0,2,0,0,2,3,2,4,3,3,3,2,5,8,17
310610,1,0,0,0,0,0,0,0,1,1,3,1,2,3,0,0,6
310620,392,42,50,282,366,328,324,366,490,692,886,987,1107,1130,1287,1454,4266
310630,2,0,0,3,4,6,3,6,4,7,10,11,9,12,13,14,27
310640,1,0,1,0,1,1,1,3,1,0,5,3,1,3,4,10,11
310650,4,0,0,0,1,2,3,1,2,4,3,4,4,5,6,4,15
310665,1,0,0,0,1,0,4,0,0,1,2,0,2,1,3,2,9
310660,4,0,0,0,0,0,0,0,0,0,0,1,4,2,1,6,7
310670,74,8,8,85,78,67,77,76,92,110,138,135,152,145,159,161,342
310680,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6,3
310690,3,0,0,0,0,2,4,0,3,7,6,15,6,13,16,11,33
310700,1,0,0,0,0,0,0,0,1,2,1,1,1,1,3,2,5
310710,6,0,2,2,5,8,5,12,8,11,22,23,17,27,27,33,89
310720,0,0,0,0,1,0,1,0,0,0,2,1,2,2,2,1,7
310730,18,1,1,5,13,3,9,9,9,13,19,18,24,23,26,30,55
310740,11,0,1,4,4,4,7,11,12,11,12,33,22,24,29,35,88
310750,2,1,0,3,2,1,0,4,2,4,4,6,8,5,10,9,18
310760,1,0,0,0,0,0,0,1,0,0,0,2,2,6,8,5,9
310770,2,0,0,1,1,1,1,1,2,3,2,3,1,5,2,2,6
310780,3,1,1,1,1,2,0,2,3,5,5,7,9,13,12,11,32
310790,0,0,0,0,0,2,0,3,2,5,8,2,2,6,5,7,15
310800,4,0,1,0,2,2,1,7,4,6,9,4,8,11,9,4,43
310810,1,0,0,0,1,0,0,1,1,2,3,3,5,5,7,7,17
310820,1,0,0,1,1,3,1,1,3,2,4,4,3,5,4,3,14
310825,3,0,0,0,0,0,1,1,4,3,3,1,2,4,0,8,11
310830,3,0,1,0,1,0,2,2,0,2,2,4,10,6,10,22,46
310840,3,0,0,2,2,2,3,2,2,5,2,6,7,7,11,24,33
310850,0,0,0,1,0,0,2,1,1,2,1,2,2,1,2,5,6
310870,1,0,0,0,0,0,1,2,1,2,3,1,0,5,3,2,14
310855,4,0,0,1,3,2,3,2,2,6,1,3,3,4,5,6,12
310860,7,0,1,0,1,0,5,5,7,13,13,14,15,12,15,14,45
310880,1,2,0,1,1,1,0,0,0,0,3,2,1,2,6,9,19
310890,7,1,2,2,0,1,1,4,1,2,8,7,11,8,6,16,26
310900,3,1,3,2,4,1,1,6,7,18,13,13,13,12,15,17,44
310910,0,0,0,0,1,1,1,1,5,2,5,8,8,14,7,10,22
310920,0,0,0,2,2,0,1,4,2,2,6,4,9,5,3,5,19
310925,2,0,0,0,1,0,0,1,0,0,2,1,1,4,2,4,10
310930,6,0,2,3,3,0,5,3,8,4,5,13,11,8,14,21,27
310940,3,3,0,1,3,2,1,2,8,3,5,4,3,10,6,5,8
310945,1,0,0,1,2,0,1,1,1,2,2,2,3,2,1,3,9
310950,0,1,0,1,0,1,0,2,5,7,4,3,9,2,9,10,35
310960,1,0,1,0,0,1,0,0,2,4,0,2,1,3,2,6,10
310970,2,0,0,1,1,1,0,3,3,2,6,3,3,7,5,11,15
310270,4,0,0,2,3,1,1,1,1,1,2,6,3,3,1,2,8
310980,1,0,0,0,1,1,0,2,0,0,0,1,0,1,4,2,6
310990,0,0,0,2,0,0,0,2,1,1,2,5,5,4,9,8,19
311000,8,0,2,2,4,7,11,4,12,10,14,17,15,14,22,31,61
311010,1,0,0,0,0,0,0,0,1,1,1,3,1,6,2,6,10
311020,1,0,0,1,0,0,0,0,2,2,1,1,2,3,4,6,14
311030,4,0,0,0,2,2,0,3,8,4,6,5,8,11,9,12,27
311040,0,0,0,0,1,0,0,0,0,0,2,1,3,2,2,5,4
311050,4,0,0,1,2,4,3,3,7,1,9,10,11,11,12,21,35
311060,3,0,1,1,2,3,2,0,7,9,5,15,20,16,23,22,64
311070,3,0,0,0,2,2,2,5,3,5,7,11,8,6,14,13,46
311080,1,0,0,0,2,2,1,2,1,2,0,2,2,1,0,2,9
311090,5,2,0,2,0,0,1,1,2,6,11,2,11,6,13,16,28
311100,8,0,1,0,2,2,2,7,11,8,9,9,6,10,15,21,46
311110,3,0,2,1,2,1,0,4,6,9,10,11,13,16,12,14,51
311115,1,1,0,0,0,0,1,0,2,0,1,1,0,2,1,1,7
311120,10,1,1,7,2,10,12,6,15,13,21,27,30,23,33,35,145
311130,3,1,1,1,2,0,2,5,4,2,5,4,8,7,4,5,22
311140,0,1,0,2,0,1,2,1,0,1,3,5,0,3,9,1,7
311150,7,3,0,2,3,7,4,4,3,4,2,6,9,10,8,7,13
311160,3,0,0,0,2,2,8,7,6,9,10,13,14,15,23,26,52
311190,0,0,0,0,0,0,1,0,0,0,4,4,1,4,8,3,14
311170,2,0,0,0,1,0,1,3,4,0,4,6,1,2,5,6,12
311180,3,0,0,0,2,0,1,3,5,3,1,5,2,3,2,6,16
311200,1,0,0,1,1,1,2,1,0,3,6,5,8,13,10,13,40
311205,1,0,0,0,0,1,1,0,1,0,0,2,1,0,1,3,2
311210,1,0,0,0,0,1,1,0,2,1,2,3,2,0,2,2,8
311220,1,0,0,0,0,0,0,1,1,4,2,3,3,1,3,6,19
311230,11,2,1,1,7,5,4,4,8,6,11,11,17,19,18,30,36
311240,4,0,0,0,0,0,1,2,0,2,4,2,2,6,5,7,9
311250,5,0,0,0,1,1,1,2,1,2,3,5,1,8,2,5,26
311260,2,0,0,2,2,2,2,2,4,6,7,12,9,9,17,7,24
311265,1,0,0,1,1,0,1,1,0,1,2,5,3,2,7,4,13
311270,1,0,0,0,0,1,3,2,1,2,4,11,6,7,7,9,18
311280,0,0,0,2,2,0,2,2,2,1,7,2,4,0,6,8,21
311290,4,0,0,0,0,2,1,2,1,1,2,5,6,4,6,6,21
311300,7,2,2,0,6,6,3,5,10,8,4,12,9,12,12,8,25
311310,1,0,0,0,0,0,0,0,0,0,3,2,1,1,2,4,4
311320,8,0,2,1,4,0,3,4,8,10,13,10,12,17,25,11,43
311330,6,0,1,3,2,0,3,3,10,7,12,11,25,18,16,25,82
311340,29,2,3,7,8,12,14,21,15,20,33,48,49,57,51,62,156
311350,1,0,0,0,0,3,2,3,3,1,4,4,9,12,6,5,9
311360,3,0,0,0,0,0,1,1,2,2,2,3,6,4,4,7,8
311370,7,0,0,2,4,2,4,5,5,10,12,6,15,19,19,13,46
311380,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,4
311390,3,1,0,0,0,2,2,3,3,9,3,3,4,3,8,9,28
