Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,586,541,532,574,530,541,584,503,414,420,351,336,230,179,135,104,52
310020,2058,2052,2235,2190,1791,1759,1876,1846,1548,1299,1022,887,760,599,470,329,214
310030,1277,1389,1430,1489,1178,958,987,928,856,684,554,467,454,374,294,232,140
310040,355,388,427,404,368,326,255,291,230,169,157,140,117,113,103,98,48
310050,1289,1273,1348,1277,953,812,690,667,548,521,470,454,430,374,319,224,135
310060,2440,2369,2351,1999,1578,1211,1090,1019,849,698,594,552,454,378,293,218,160
310070,171,215,213,197,182,176,166,140,149,116,103,100,65,54,39,37,23
310080,323,305,335,320,299,257,283,261,252,237,179,134,137,115,98,81,38
310090,1922,2094,2207,2188,1560,1212,1124,1019,898,804,717,712,615,458,326,268,180
310100,1387,1500,1614,1441,1030,807,788,692,618,536,448,379,331,232,160,143,77
310110,2261,2316,2521,2492,2227,1923,1881,1759,1589,1423,1133,994,955,795,644,522,316
310120,583,620,575,593,511,489,528,504,460,376,291,283,238,219,176,110,79
310130,264,285,248,271,179,166,220,249,188,184,132,117,109,106,71,54,29
310140,300,259,253,262,268,258,211,183,187,166,129,121,85,85,69,52,26
310150,3018,3024,2945,3068,2885,2553,2624,2729,2564,1985,1502,1333,1193,1092,832,738,389
310160,6243,6336,6701,6899,6551,5246,5201,5136,4797,3912,3046,2397,1932,1528,1209,963,582
310163,494,522,509,505,507,445,431,383,337,269,230,188,148,104,77,58,25
310170,3434,3581,4358,4331,3267,2539,2448,2318,1967,1709,1433,1300,1145,938,652,482,393
310180,728,726,775,760,668,495,435,494,413,350,277,270,216,170,149,128,91
310190,1758,1748,1743,1666,1408,1334,1431,1335,1155,972,725,569,482,407,350,243,143
310200,1209,1206,1322,1244,1108,1011,1047,972,854,728,603,532,459,362,279,217,157
310205,523,459,492,493,420,401,365,337,281,246,187,143,136,110,87,86,27
315350,839,825,922,844,779,635,658,644,562,479,333,240,240,246,184,155,90
310210,1228,1418,1549,1476,1206,962,1004,891,817,710,624,565,507,419,371,288,179
310220,467,521,649,651,413,331,314,382,337,259,209,212,185,169,113,75,59
310230,1495,1527,1615,1595,1382,1094,1106,1170,950,817,724,569,545,495,358,339,208
310240,439,455,451,373,295,250,236,198,163,162,120,113,106,69,73,78,37
310250,531,571,605,585,462,368,393,342,343,249,236,202,206,168,163,120,74
310260,2704,2813,2931,3090,3025,2812,2783,2642,2341,2009,1560,1299,1141,1036,787,543,300
310280,1022,1109,1124,1209,1067,958,913,947,859,753,599,507,479,405,299,240,137
310285,1131,1086,1073,928,646,486,441,377,349,275,207,193,180,120,71,59,38
310290,1026,1119,1064,1065,1014,918,902,861,719,540,532,397,330,243,194,138,87
310300,1144,1138,1136,1103,926,743,755,675,562,456,353,340,341,246,183,123,78
310310,125,165,153,171,139,135,162,138,118,106,89,91,72,59,66,31,20
310320,218,210,207,238,197,157,188,155,129,109,98,79,80,40,35,29,31
310330,155,211,202,194,159,112,167,135,183,134,118,84,73,73,62,57,21
310340,3731,4150,4422,4435,3180,2522,2343,2179,1838,1450,1330,1206,1156,908,721,621,439
310350,8704,8994,9912,9793,9689,8613,8769,8309,7017,5852,4901,3936,3326,2513,1966,1428,874
310360,280,256,252,275,234,207,248,231,200,173,166,100,110,96,80,50,23
310370,921,911,967,956,811,607,513,493,394,361,280,238,228,174,111,110,45
310375,562,538,524,530,512,497,460,396,338,293,236,172,148,104,62,48,26
310380,206,232,242,246,225,239,232,204,175,176,168,126,110,79,72,49,34
310390,587,559,658,603,559,517,533,499,416,323,266,231,194,154,144,90,44
310400,6681,7281,7738,8038,7216,6181,6449,6502,5995,4867,3707,2902,2377,1840,1390,1160,704
310410,646,697,798,791,687,588,647,572,564,477,382,347,307,275,219,160,85
310420,2606,2875,3190,3507,3155,2665,2865,2779,2423,1965,1510,1203,905,704,535,421,219
310430,993,1169,1248,1246,1079,871,965,903,840,652,569,532,475,349,291,234,126
310440,280,263,356,332,271,200,199,209,214,165,150,140,122,116,101,91,46
310445,505,565,594,507,335,258,268,247,236,183,158,131,123,86,88,55,25
310450,2114,2200,2321,2231,1483,1145,1132,1066,971,814,628,583,492,389,283,210,102
310460,957,1043,1102,1107,1052,939,1022,883,842,653,571,512,403,356,305,217,145
310470,1768,1937,2235,2052,1335,1087,999,966,880,793,648,660,582,443,307,278,208
310480,526,601,615,543,436,372,355,369,282,241,193,199,171,140,109,94,46
310490,1458,1687,1752,1744,1494,1355,1344,1364,1186,1068,834,680,576,513,415,318,186
