Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
310010,438,486,548,517,510,525,518,542,540,450,413,383,316,241,157,104,103
310020,1479,1763,1944,1928,1920,1691,1636,1676,1776,1636,1408,1153,926,751,583,391,417
310030,978,1133,1223,1218,1142,1066,974,927,926,873,740,622,488,408,355,251,255
310040,295,310,377,366,313,307,298,282,267,248,189,169,146,135,107,83,99
310050,755,993,1103,995,860,746,713,673,641,580,528,474,412,380,321,265,246
310060,1361,1807,1955,1686,1351,1134,1061,960,914,820,664,592,471,402,326,211,223
310070,117,147,170,185,180,162,150,151,139,142,128,113,95,63,57,40,37
310080,269,302,351,324,309,302,291,280,292,279,264,224,177,128,112,69,76
310090,1532,1840,1899,1874,1654,1495,1232,1190,1068,984,819,766,676,604,483,297,320
310100,1082,1294,1381,1385,1221,980,855,790,726,685,589,502,417,337,241,154,188
310110,1832,2020,2143,2150,2045,1942,1866,1781,1728,1640,1451,1211,995,849,710,531,580
310120,350,477,531,518,489,430,451,448,481,457,407,324,276,236,192,145,123
310130,180,207,251,221,203,175,158,182,229,225,192,153,116,86,82,63,55
310140,194,235,269,252,234,245,237,239,189,176,161,148,107,91,73,57,51
310150,2389,2648,2892,2806,2686,2706,2555,2482,2551,2504,2165,1689,1329,1074,922,715,783
310160,5136,5646,6296,6522,6706,6373,5695,5227,5219,5044,4305,3490,2662,1989,1534,1079,1131
310163,445,504,552,547,505,489,471,462,463,393,314,265,199,164,111,78,66
310170,3169,3373,3512,3682,3766,3309,2789,2611,2480,2208,1806,1599,1315,1153,933,612,638
310180,526,670,730,672,592,581,533,484,452,434,363,306,257,229,179,129,140
310190,1278,1506,1725,1687,1640,1488,1345,1334,1372,1236,1066,856,625,476,402,282,283
310200,945,1095,1159,1154,1136,1091,1003,1006,969,912,791,667,570,457,378,258,268
310205,419,466,483,470,491,450,411,384,352,329,268,221,154,128,108,78,82
315350,621,703,755,730,721,688,632,582,594,563,488,392,259,218,209,167,183
310210,758,978,1165,1190,1069,925,853,842,882,793,711,615,541,446,369,260,291
310220,344,379,413,437,410,349,309,288,292,312,270,216,178,153,127,90,96
310230,1041,1240,1375,1372,1288,1216,1115,1027,1097,1004,851,727,606,507,438,338,374
310240,368,424,404,367,292,258,233,232,201,177,159,138,93,89,66,46,65
310250,338,434,499,468,396,382,362,351,343,332,286,242,207,177,155,118,135
310260,2378,2564,2900,3058,3164,3115,2922,2830,2788,2579,2237,1839,1434,1138,947,719,653
310280,767,923,984,987,931,940,952,898,927,873,788,665,549,429,340,246,236
310285,747,993,1036,905,764,638,537,462,421,353,289,250,204,175,128,82,84
310290,703,885,1003,996,940,897,889,893,838,780,602,525,440,333,241,160,165
310300,774,905,1007,939,850,759,709,686,663,591,490,388,320,273,225,128,128
310310,81,112,135,129,131,119,114,126,129,127,107,99,83,72,62,54,45
310320,151,189,216,193,191,174,154,165,170,152,121,105,88,73,50,41,37
310330,101,143,175,177,153,136,124,142,166,167,153,128,94,75,63,55,51
310340,2950,3317,3685,3807,3491,3007,2508,2355,2214,1991,1573,1326,1153,1047,869,626,749
310350,7392,8065,8782,9261,9625,9229,8749,8357,8490,7654,6359,5240,4193,3267,2550,1695,1706
310360,178,235,250,224,189,191,197,219,242,214,184,162,112,94,89,63,50
310370,631,790,838,813,814,748,664,541,499,445,372,310,241,189,165,102,110
310375,526,507,575,570,577,548,536,464,431,321,280,233,189,140,103,68,54
310380,164,181,213,216,185,202,217,240,223,182,168,169,136,109,93,62,64
310390,629,632,653,685,740,669,599,574,550,491,396,301,246,194,156,114,124
310400,6246,6657,7558,8089,8722,8319,7307,6716,6825,6446,5619,4398,3163,2468,1858,1279,1327
310410,706,681,765,854,899,762,682,663,634,584,531,448,353,296,239,173,173
310420,2353,2509,2901,3085,3353,3313,2929,2794,2872,2640,2217,1729,1316,964,705,488,477
310430,986,986,1113,1211,1218,1130,1008,935,959,911,781,629,548,460,365,236,267
310440,177,211,244,253,262,215,204,186,209,187,183,147,138,120,99,74,95
310445,436,504,522,524,414,362,307,278,275,253,227,180,144,124,83,71,72
310450,1604,1861,1910,1799,1606,1407,1218,1088,1081,1011,853,695,568,469,380,238,239
310460,854,885,1061,1128,1161,1074,994,948,963,895,727,620,515,428,323,251,265
310470,1121,1418,1539,1478,1293,1062,977,911,908,845,794,694,585,524,397,257,328
310480,411,465,475,489,423,377,358,336,338,306,249,203,183,158,130,92,98
310490,1196,1397,1532,1620,1551,1448,1319,1278,1341,1300,1124,937,730,572,458,359,369
310500,595,654,717,749,659,585,510,516,560,539,443,365,328,287,236,183,183
