Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,0,0,0,0,0,0,0,0,2,1,2,2,3,5,1,3,9
310020,13,2,0,0,3,2,4,6,3,8,5,9,9,18,11,9,24
310030,9,0,1,2,2,0,0,2,4,7,3,3,3,5,5,8,24
310040,0,0,0,0,0,0,2,1,2,0,3,2,2,5,2,5,6
310050,1,1,0,1,2,0,0,6,2,4,1,0,0,5,6,8,12
310060,10,1,0,1,3,1,4,3,5,0,1,5,2,10,2,2,4
310070,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1
310080,2,0,0,0,0,0,1,0,0,0,0,0,1,3,3,1,4
310090,12,1,0,0,1,1,1,5,1,5,3,7,9,8,9,5,17
310100,6,0,0,1,0,0,0,5,0,1,3,1,4,1,3,0,7
310110,8,0,2,4,3,2,3,3,7,9,9,11,12,17,19,23,52
310120,3,0,0,0,0,1,1,0,1,2,2,1,4,6,7,3,13
310130,1,1,0,0,0,0,0,0,0,0,0,3,3,2,2,2,7
310140,0,0,0,0,1,0,0,1,3,0,0,1,2,2,1,2,2
310150,15,2,1,1,1,4,5,1,6,15,13,11,23,28,30,31,57
310160,34,1,1,5,5,8,7,10,13,21,30,36,31,38,43,45,87
310163,1,0,0,1,1,0,1,1,5,3,0,4,0,3,5,2,6
310170,26,0,0,3,4,4,8,10,8,7,18,10,14,15,22,19,65
310180,5,0,0,1,0,3,1,2,4,1,3,1,1,1,7,5,10
310190,7,3,0,0,6,2,2,6,7,4,2,6,6,5,7,8,32
310200,5,0,0,0,2,0,1,2,2,3,3,5,6,6,6,12,30
310205,3,0,0,1,0,0,0,0,0,1,2,1,1,1,2,3,5
315350,4,0,0,0,0,0,1,0,2,2,1,1,5,6,3,4,12
310210,7,0,1,0,0,2,1,4,3,4,4,8,10,4,9,8,24
310220,0,0,0,1,0,0,0,1,0,1,1,0,1,3,2,2,5
310230,5,0,0,1,1,2,1,2,0,3,10,1,7,6,11,12,24
310240,4,0,0,0,1,0,0,1,0,2,0,1,1,0,1,2,2
310250,2,0,0,1,0,1,1,1,1,1,1,0,2,1,3,2,12
310260,8,1,0,2,3,1,9,1,6,5,13,10,12,29,28,34,60
310280,1,0,0,1,1,1,3,5,2,2,8,3,8,11,5,12,20
310285,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
310290,6,1,0,1,1,2,2,4,1,1,4,4,8,10,9,8,12
310300,5,1,0,3,1,2,2,4,4,8,4,2,5,6,4,6,9
310310,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
310320,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,2,2
310330,1,0,0,0,1,0,0,1,1,2,1,2,0,3,3,3,3
310340,3,0,0,0,1,0,1,2,3,1,3,3,2,4,1,3,3
310350,29,2,4,11,6,9,19,30,20,17,44,58,51,70,58,57,151
310360,0,0,0,0,0,0,2,0,0,1,2,0,4,1,2,2,6
310370,3,0,1,1,1,0,0,2,3,4,1,2,1,2,0,4,7
310375,1,0,0,0,0,0,1,4,1,1,0,1,2,3,0,2,5
310380,0,0,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0
310390,2,0,1,0,1,0,1,0,1,3,0,3,4,3,3,0,7
310400,19,1,1,3,7,10,10,12,18,28,18,43,42,45,53,50,108
310410,2,0,0,1,0,0,3,0,3,1,5,8,4,6,2,6,11
310420,7,0,0,1,1,2,2,5,6,12,13,13,13,25,23,17,46
310430,4,0,0,0,1,0,2,1,4,3,6,6,3,6,12,13,23
310440,1,0,0,0,0,1,1,2,2,1,2,1,1,1,4,3,6
310445,1,0,0,0,0,0,0,0,1,2,1,0,1,2,3,1,1
310450,8,0,0,0,0,4,1,1,1,2,0,3,2,7,6,10,9
310460,3,0,0,0,0,1,2,2,6,3,3,2,2,6,5,7,13
310470,4,0,0,0,0,2,0,1,2,4,5,5,3,10,6,3,4
310480,0,0,0,0,1,0,1,0,0,6,1,2,2,2,3,5,3
310490,11,0,0,1,1,0,0,1,6,3,5,4,9,8,11,23,35
310500,0,0,0,0,0,0,1,3,3,2,4,3,1,11,3,6,11
310510,4,0,0,4,2,2,1,8,8,8,6,10,21,20,15,14,41
310520,1,0,0,0,0,1,1,1,2,1,2,0,1,2,2,4,4
310530,0,0,0,0,3,0,0,2,2,1,0,2,0,2,1,6,4
310540,18,1,0,2,3,5,5,4,6,10,7,8,10,13,16,11,23
310550,0,0,0,0,0,1,0,1,1,0,2,3,0,6,4,8,10
310560,38,0,0,7,6,12,19,28,30,33,48,48,66,72,88,76,135
310570,0,0,0,0,1,0,1,1,2,2,0,2,5,5,4,6,17
310590,9,0,0,0,0,2,5,7,5,3,7,7,10,23,10,14,23
310600,7,1,1,0,2,1,1,4,0,2,6,3,4,1,6,6,11
310610,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1
310620,620,58,68,252,359,356,367,481,594,662,734,852,972,1141,1251,1160,2787
310630,6,2,1,3,2,1,5,3,4,4,4,4,11,7,7,14,20
310640,3,0,0,2,0,1,1,2,1,3,1,1,1,1,1,5,14
310650,1,0,0,1,1,1,0,1,2,1,2,5,4,3,2,6,7
310665,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0
310660,1,0,0,0,1,0,1,0,0,1,3,0,0,0,1,1,2
310670,119,12,21,45,48,59,53,61,86,96,102,87,107,101,116,131,178
310680,3,0,0,0,0,0,0,0,1,2,3,1,1,6,3,2,6
310690,3,0,0,0,2,0,3,5,8,4,4,6,13,8,7,13,26
310700,1,0,0,0,0,0,0,1,2,1,1,2,1,1,1,2,2
310710,20,0,1,2,2,7,6,10,14,18,15,17,14,23,29,18,56
310720,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,2,2
310730,24,1,1,6,4,5,5,13,11,16,18,15,22,27,32,17,35
310740,14,2,2,3,5,3,3,10,8,13,5,16,21,20,23,25,51
310750,4,0,0,1,0,2,2,2,4,2,3,2,6,6,6,9,15
310760,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,2,6
310770,2,0,0,1,0,0,1,0,0,0,2,1,1,6,1,4,5
310780,8,0,0,0,2,1,0,2,3,1,2,3,4,8,12,8,15
310790,6,1,0,0,3,0,2,6,0,4,2,1,4,3,7,6,15
310800,10,0,1,1,2,2,5,1,7,6,11,8,6,11,13,17,32
310810,1,0,0,0,0,2,1,2,3,7,1,5,2,4,7,10,12
310820,2,0,0,2,1,0,1,3,1,0,3,2,2,3,6,5,4
310825,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,0,1
310830,7,1,0,3,0,1,2,5,4,3,9,6,3,9,16,11,52
310840,7,0,0,1,0,0,2,1,3,1,6,9,8,11,9,5,23
310850,1,0,0,0,0,0,0,2,2,0,1,3,0,2,0,0,1
310870,3,0,1,0,0,0,1,1,1,0,3,2,2,6,7,2,7
310855,0,0,0,0,1,1,1,0,2,1,1,0,3,1,1,0,3
310860,10,1,1,1,3,2,8,5,8,9,4,9,6,6,10,9,31
310880,0,0,2,1,0,1,0,0,1,1,2,3,1,3,4,3,10
310890,9,1,0,2,1,2,6,3,4,6,5,10,4,11,10,13,37
310900,9,0,2,3,0,4,3,5,9,6,8,2,11,13,19,12,24
310910,4,0,0,0,2,0,1,1,1,3,3,4,8,5,8,5,20
310920,6,0,0,1,0,2,1,7,3,1,2,7,6,5,6,13,15
310925,4,0,1,0,1,0,0,1,2,1,2,1,0,0,7,2,4
310930,12,0,0,3,2,1,2,4,4,3,9,5,2,2,5,9,6
310940,21,0,2,3,4,7,7,6,9,7,7,11,10,7,14,10,24
310945,2,0,0,0,1,1,1,2,2,0,2,2,2,6,0,1,2
310950,3,0,0,0,0,1,1,3,1,3,3,5,2,5,13,6,13
310960,1,0,1,0,0,0,0,0,0,0,0,1,1,0,3,1,6
310970,2,0,1,0,0,0,0,1,1,2,2,1,3,5,5,5,11
310270,4,0,0,0,1,0,1,0,1,1,2,2,1,1,2,1,3
310980,1,0,0,0,0,1,1,0,0,0,0,1,3,0,2,1,0
310990,2,2,0,0,1,0,2,3,1,0,2,4,5,2,5,6,10
311000,12,1,1,4,1,5,8,7,4,9,14,16,28,18,24,26,51
311010,0,0,0,0,0,1,0,0,0,0,1,1,0,2,2,1,0
311020,2,0,0,0,0,0,0,2,1,4,3,2,1,0,2,3,4
311030,4,0,1,0,3,1,1,3,0,9,7,3,9,8,10,18,21
311040,1,0,0,0,1,1,0,0,1,0,1,1,4,2,0,2,4
311050,8,0,0,1,3,1,7,1,4,3,4,10,15,4,16,18,19
311060,11,1,0,1,0,4,3,7,5,6,4,4,14,12,24,12,32
311070,11,0,0,0,1,0,2,5,3,8,5,11,4,5,19,7,22
311080,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,3,5
311090,6,2,0,0,0,0,3,5,1,6,4,4,9,11,14,7,22
311100,6,0,0,2,2,3,1,5,2,4,5,6,7,13,13,9,23
311110,5,1,0,1,1,2,1,3,6,8,4,8,9,14,14,18,34
311115,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
311120,17,2,0,2,3,3,7,8,17,16,17,26,21,28,51,37,79
311130,2,0,0,0,0,3,1,6,3,3,5,6,5,6,9,5,16
311140,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,2
311150,5,0,0,2,1,1,2,1,3,0,4,3,4,3,6,11,15
311160,2,1,0,1,5,3,3,6,3,5,6,9,6,14,8,12,33
311190,1,0,0,0,0,2,0,2,1,2,2,3,4,4,5,6,15
311170,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,4
311180,3,0,1,1,1,1,0,1,1,2,2,1,4,8,10,8,13
