"";"COD_Microrregiao_Geografica";"Nome_Microrregiao";"Trienio";"Categoria_Adequacao";"Pop";"Tot";"Prop"
"52";"31003";"Januaria";"2015_2017";"Categoria 1 ou Adequada (C1)";797948;1127623;0,707637215629692
"53";"31003";"Januaria";"2015_2017";"Categoria 2 ou Intermediária (C2)";260027;1127623;0,230597460321402
"54";"31003";"Januaria";"2015_2017";"Categoria 3 ou Inadequada (C3)";69648;1127623;0,0617653240489064
"55";"31004";"Janauba";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"56";"31004";"Janauba";"2000_2002";"Categoria 2 ou Intermediária (C2)";553882;665577;0,832183203446033
"57";"31004";"Janauba";"2000_2002";"Categoria 3 ou Inadequada (C3)";111695;665577;0,167816796553967
"58";"31004";"Janauba";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"59";"31004";"Janauba";"2003_2005";"Categoria 2 ou Intermediária (C2)";643544;674148;0,954603440194141
"60";"31004";"Janauba";"2003_2005";"Categoria 3 ou Inadequada (C3)";30604;674148;0,0453965598058587
"61";"31004";"Janauba";"2006_2008";"Categoria 1 ou Adequada (C1)";91354;681369;0,134074194746165
"62";"31004";"Janauba";"2006_2008";"Categoria 2 ou Intermediária (C2)";575635;681369;0,844821234896216
"63";"31004";"Janauba";"2006_2008";"Categoria 3 ou Inadequada (C3)";14380;681369;0,0211045703576183
"64";"31004";"Janauba";"2009_2011";"Categoria 1 ou Adequada (C1)";192428;687861;0,279748379396419
"65";"31004";"Janauba";"2009_2011";"Categoria 2 ou Intermediária (C2)";495433;687861;0,720251620603581
"66";"31004";"Janauba";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"67";"31004";"Janauba";"2012_2014";"Categoria 1 ou Adequada (C1)";516166;694383;0,743344811148891
"68";"31004";"Janauba";"2012_2014";"Categoria 2 ou Intermediária (C2)";178217;694383;0,25665518885111
"69";"31004";"Janauba";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"70";"31004";"Janauba";"2015_2017";"Categoria 1 ou Adequada (C1)";373135;643952;0,579445362387259
