Municipio,0 a 4 anos,5 a 9 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos e mais
310010,2,0,0,2,0,1,2,1,2,1,3,5,5,6,3,7,12
310020,8,1,1,0,3,0,5,6,10,6,10,10,16,12,20,16,44
310030,6,3,0,1,0,0,4,1,2,3,4,8,9,7,12,13,18
310040,0,1,0,1,0,0,1,0,1,3,0,3,2,4,0,5,13
310050,3,0,0,3,1,2,0,3,2,3,1,3,4,7,10,9,9
310060,8,1,0,0,0,0,3,0,0,5,5,5,5,5,8,13,21
310070,0,0,0,1,0,1,1,0,0,1,0,0,1,1,2,0,5
310080,1,0,0,0,0,1,1,0,2,0,4,0,3,6,2,5,5
310090,13,0,1,1,4,2,0,3,1,12,6,7,6,8,11,9,26
310100,10,0,0,0,0,2,4,3,5,7,1,2,0,2,1,3,15
310110,6,0,1,1,2,2,2,6,7,8,5,9,10,17,18,21,40
310120,1,0,0,0,0,1,1,1,1,3,1,4,4,2,10,6,13
310130,0,0,0,0,0,0,0,1,1,2,1,1,1,2,5,6,6
310140,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,5
310150,8,0,0,2,3,2,3,4,15,12,18,14,17,30,31,44,87
310160,14,1,4,7,14,15,11,7,16,18,31,28,35,47,53,42,124
310163,8,0,0,1,1,0,0,0,1,2,2,2,3,1,2,4,5
310170,14,3,1,3,4,7,3,8,13,16,9,19,21,15,22,20,48
310180,4,1,0,1,1,1,2,4,1,1,6,6,6,2,5,6,7
310190,1,1,0,0,0,1,2,2,4,7,5,3,10,11,12,11,33
310200,0,0,0,2,4,0,1,3,1,6,1,4,12,10,10,9,28
310205,1,0,0,0,0,0,1,1,2,2,1,1,3,0,4,3,8
315350,1,0,0,0,0,1,1,0,1,1,4,10,1,3,3,8,10
310210,1,1,0,1,3,2,0,1,6,3,5,7,8,10,14,11,21
310220,2,0,0,1,1,1,1,3,0,1,1,0,2,2,1,6,16
310230,2,0,1,1,1,2,5,4,2,5,4,4,9,11,9,12,41
310240,1,0,0,0,0,2,0,0,0,0,1,1,1,2,1,4,8
310250,1,1,0,0,0,0,0,2,0,1,3,4,2,3,2,6,6
310260,6,2,2,3,3,4,6,8,8,11,16,16,18,23,33,35,64
310280,4,0,0,4,0,1,3,2,1,4,9,5,7,10,14,11,23
310285,1,1,0,0,1,0,1,2,1,4,3,2,2,4,9,4,8
310290,3,0,0,1,0,1,3,3,4,5,3,5,0,11,6,4,18
310300,5,0,1,1,0,0,0,3,3,6,4,1,3,5,7,5,12
310310,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,2
310320,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
310330,2,0,0,0,0,0,0,1,1,0,0,0,4,1,2,4,5
310340,7,0,2,2,7,4,9,5,9,6,13,5,8,12,12,18,38
310350,19,2,0,9,12,15,18,35,26,26,45,57,58,59,88,81,183
310360,1,0,0,0,1,2,1,1,0,2,2,2,1,2,3,2,2
310370,0,0,1,0,2,0,1,2,1,2,3,3,2,3,4,5,8
310375,0,2,1,0,2,0,0,2,1,1,1,4,1,1,1,3,4
310380,0,0,0,0,0,2,0,3,0,0,0,2,2,2,4,1,7
310390,1,0,0,1,1,1,0,2,1,2,1,2,3,5,5,3,6
310400,18,3,0,4,12,14,13,12,21,33,43,52,43,56,50,58,166
310410,2,0,0,0,0,0,0,0,2,3,3,4,5,6,5,14,9
310420,1,0,2,1,3,3,2,4,8,6,16,14,8,15,13,30,39
310430,2,0,1,2,0,0,2,2,2,2,4,9,2,16,9,12,27
310440,0,0,0,1,0,0,0,0,1,0,1,3,1,0,1,5,7
310445,0,1,0,0,0,0,1,1,0,1,2,2,0,4,2,2,5
310450,8,0,0,0,0,2,4,0,5,3,5,3,6,6,5,7,16
310460,2,0,0,1,1,3,3,2,3,5,3,7,4,7,7,11,23
310470,5,1,0,0,5,0,3,3,6,9,6,2,1,4,11,11,29
310480,1,0,0,1,0,0,2,1,2,2,2,2,3,4,2,5,7
310490,3,0,0,0,1,2,1,1,3,4,6,5,6,11,15,12,39
